"DateTime","Hospital Surge Beds","Max Hospital Beds","ICU Beds","Max ICU Beds","Ventilators","Max Ventilators"
"2021-03-01 00:00:00",0,177292,0,46000,0,10000
"2021-03-02 00:00:00",0,177292,0,46000,0,10000
"2021-03-03 00:00:00",0,177292,0,46000,0,10000
"2021-03-04 00:00:00",1,177292,0,46000,0,10000
"2021-03-05 00:00:00",1,177292,0,46000,0,10000
"2021-03-06 00:00:00",1,177292,0,46000,0,10000
"2021-03-07 00:00:00",2,177292,0,46000,0,10000
"2021-03-08 00:00:00",2,177292,0,46000,1,10000
"2021-03-09 00:00:00",3,177292,0,46000,1,10000
"2021-03-10 00:00:00",3,177292,0,46000,1,10000
"2021-03-11 00:00:00",4,177292,0,46000,1,10000
"2021-03-12 00:00:00",4,177292,0,46000,1,10000
"2021-03-13 00:00:00",5,177292,1,46000,1,10000
"2021-03-14 00:00:00",5,177292,1,46000,1,10000
"2021-03-15 00:00:00",6,177292,1,46000,2,10000
"2021-03-16 00:00:00",7,177292,1,46000,2,10000
"2021-03-17 00:00:00",8,177292,1,46000,2,10000
"2021-03-18 00:00:00",8,177292,1,46000,2,10000
"2021-03-19 00:00:00",9,177292,1,46000,3,10000
"2021-03-20 00:00:00",10,177292,1,46000,3,10000
"2021-03-21 00:00:00",11,177292,1,46000,3,10000
"2021-03-22 00:00:00",12,177292,2,46000,3,10000
"2021-03-23 00:00:00",13,177292,2,46000,4,10000
"2021-03-24 00:00:00",15,177292,2,46000,4,10000
"2021-03-25 00:00:00",16,177292,2,46000,5,10000
"2021-03-26 00:00:00",18,177292,2,46000,5,10000
"2021-03-27 00:00:00",19,177292,2,46000,5,10000
"2021-03-28 00:00:00",21,177292,3,46000,6,10000
"2021-03-29 00:00:00",23,177292,3,46000,7,10000
"2021-03-30 00:00:00",25,177292,3,46000,7,10000
"2021-03-31 00:00:00",28,177292,3,46000,8,10000
"2021-04-01 00:00:00",30,177292,4,46000,9,10000
"2021-04-02 00:00:00",33,177292,4,46000,9,10000
"2021-04-03 00:00:00",36,177292,5,46000,10,10000
"2021-04-04 00:00:00",39,177292,5,46000,11,10000
"2021-04-05 00:00:00",43,177292,5,46000,12,10000
"2021-04-06 00:00:00",47,177292,6,46000,13,10000
"2021-04-07 00:00:00",51,177292,7,46000,15,10000
"2021-04-08 00:00:00",56,177292,7,46000,16,10000
"2021-04-09 00:00:00",61,177292,8,46000,17,10000
"2021-04-10 00:00:00",67,177292,9,46000,19,10000
"2021-04-11 00:00:00",73,177292,9,46000,21,10000
"2021-04-12 00:00:00",80,177292,10,46000,23,10000
"2021-04-13 00:00:00",88,177292,11,46000,25,10000
"2021-04-14 00:00:00",96,177292,12,46000,27,10000
"2021-04-15 00:00:00",105,177292,13,46000,30,10000
"2021-04-16 00:00:00",115,177292,15,46000,33,10000
"2021-04-17 00:00:00",126,177292,16,46000,36,10000
"2021-04-18 00:00:00",138,177292,18,46000,39,10000
"2021-04-19 00:00:00",151,177292,19,46000,43,10000
"2021-04-20 00:00:00",166,177292,21,46000,47,10000
"2021-04-21 00:00:00",181,177292,23,46000,52,10000
"2021-04-22 00:00:00",199,177292,25,46000,56,10000
"2021-04-23 00:00:00",218,177292,28,46000,62,10000
"2021-04-24 00:00:00",238,177292,30,46000,68,10000
"2021-04-25 00:00:00",261,177292,33,46000,74,10000
"2021-04-26 00:00:00",286,177292,37,46000,81,10000
"2021-04-27 00:00:00",313,177292,40,46000,89,10000
"2021-04-28 00:00:00",343,177292,44,46000,98,10000
"2021-04-29 00:00:00",376,177292,48,46000,107,10000
"2021-04-30 00:00:00",412,177292,53,46000,117,10000
"2021-05-01 00:00:00",452,177292,58,46000,128,10000
"2021-05-02 00:00:00",495,177292,63,46000,141,10000
"2021-05-03 00:00:00",542,177292,69,46000,154,10000
"2021-05-04 00:00:00",594,177292,76,46000,169,10000
"2021-05-05 00:00:00",651,177292,83,46000,185,10000
"2021-05-06 00:00:00",714,177292,91,46000,203,10000
"2021-05-07 00:00:00",782,177292,100,46000,222,10000
"2021-05-08 00:00:00",858,177292,109,46000,244,10000
"2021-05-09 00:00:00",940,177292,120,46000,267,10000
"2021-05-10 00:00:00",1030,177292,131,46000,293,10000
"2021-05-11 00:00:00",1129,177292,144,46000,321,10000
"2021-05-12 00:00:00",1237,177292,158,46000,352,10000
"2021-05-13 00:00:00",1356,177292,173,46000,385,10000
"2021-05-14 00:00:00",1486,177292,190,46000,422,10000
"2021-05-15 00:00:00",1629,177292,208,46000,463,10000
"2021-05-16 00:00:00",1785,177292,228,46000,507,10000
"2021-05-17 00:00:00",1956,177292,250,46000,556,10000
"2021-05-18 00:00:00",2144,177292,274,46000,609,10000
"2021-05-19 00:00:00",2349,177292,300,46000,667,10000
"2021-05-20 00:00:00",2574,177292,329,46000,731,10000
"2021-05-21 00:00:00",2821,177292,360,46000,801,10000
"2021-05-22 00:00:00",3091,177292,394,46000,878,10000
"2021-05-23 00:00:00",3386,177292,432,46000,962,10000
"2021-05-24 00:00:00",3710,177292,474,46000,1054,10000
"2021-05-25 00:00:00",4064,177292,519,46000,1155,10000
"2021-05-26 00:00:00",4451,177292,568,46000,1265,10000
"2021-05-27 00:00:00",4875,177292,622,46000,1385,10000
"2021-05-28 00:00:00",5339,177292,682,46000,1517,10000
"2021-05-29 00:00:00",5846,177292,747,46000,1662,10000
"2021-05-30 00:00:00",6401,177292,817,46000,1819,10000
"2021-05-31 00:00:00",7008,177292,895,46000,1992,10000
"2021-06-01 00:00:00",7670,177292,980,46000,2181,10000
"2021-06-02 00:00:00",8394,177292,1072,46000,2387,10000
"2021-06-03 00:00:00",9185,177292,1174,46000,2612,10000
"2021-06-04 00:00:00",10049,177292,1284,46000,2858,10000
"2021-06-05 00:00:00",10991,177292,1405,46000,3126,10000
"2021-06-06 00:00:00",12018,177292,1537,46000,3419,10000
"2021-06-07 00:00:00",13139,177292,1681,46000,3738,10000
"2021-06-08 00:00:00",14360,177292,1838,46000,4086,10000
"2021-06-09 00:00:00",15689,177292,2009,46000,4466,10000
"2021-06-10 00:00:00",17136,177292,2195,46000,4878,10000
"2021-06-11 00:00:00",18710,177292,2398,46000,5327,10000
"2021-06-12 00:00:00",20420,177292,2619,46000,5815,10000
"2021-06-13 00:00:00",22277,177292,2860,46000,6345,10000
"2021-06-14 00:00:00",24291,177292,3122,46000,6919,10000
"2021-06-15 00:00:00",26474,177292,3407,46000,7541,10000
"2021-06-16 00:00:00",28837,177292,3718,46000,8214,10000
"2021-06-17 00:00:00",31392,177292,4055,46000,8941,10000
"2021-06-18 00:00:00",34151,177292,4423,46000,9724,10000
"2021-06-19 00:00:00",37127,177292,5328,46000,10062,10000
"2021-06-20 00:00:00",40332,177292,6631,46000,10098,10000
"2021-06-21 00:00:00",43778,177292,8051,46000,10121,10000
"2021-06-22 00:00:00",47475,177292,9584,46000,10138,10000
"2021-06-23 00:00:00",51436,177292,11234,46000,10151,10000
"2021-06-24 00:00:00",55670,177292,13005,46000,10162,10000
"2021-06-25 00:00:00",60187,177292,14899,46000,10171,10000
"2021-06-26 00:00:00",64993,177292,16921,46000,10179,10000
"2021-06-27 00:00:00",70093,177292,19073,46000,10186,10000
"2021-06-28 00:00:00",75492,177292,21357,46000,10192,10000
"2021-06-29 00:00:00",81190,177292,23774,46000,10198,10000
"2021-06-30 00:00:00",87184,177292,26323,46000,10203,10000
"2021-07-01 00:00:00",93467,177292,29003,46000,10208,10000
"2021-07-02 00:00:00",100032,177292,31810,46000,10213,10000
"2021-07-03 00:00:00",106862,177292,34738,46000,10218,10000
"2021-07-04 00:00:00",113939,177292,37781,46000,10222,10000
"2021-07-05 00:00:00",121241,177292,40928,46000,10227,10000
"2021-07-06 00:00:00",128739,177292,44167,46000,10232,10000
"2021-07-07 00:00:00",138044,177292,45845,46000,10229,10000
"2021-07-08 00:00:00",149042,177292,45996,46000,10232,10000
"2021-07-09 00:00:00",160217,177292,46071,46000,10237,10000
"2021-07-10 00:00:00",171437,177292,46129,46000,10242,10000
"2021-07-11 00:00:00",177397,177292,46171,46000,10254,10000
"2021-07-12 00:00:00",177743,177292,46185,46000,10287,10000
"2021-07-13 00:00:00",177892,177292,46173,46000,10339,10000
"2021-07-14 00:00:00",178019,177292,46141,46000,10407,10000
"2021-07-15 00:00:00",178128,177292,46093,46000,10485,10000
"2021-07-16 00:00:00",178221,177292,46034,46000,10570,10000
"2021-07-17 00:00:00",178296,177292,45967,46000,10660,10000
"2021-07-18 00:00:00",178356,177292,45895,46000,10751,10000
"2021-07-19 00:00:00",178399,177292,45821,46000,10842,10000
"2021-07-20 00:00:00",178426,177292,45746,46000,10930,10000
"2021-07-21 00:00:00",178438,177292,45671,46000,11016,10000
"2021-07-22 00:00:00",178433,177292,45598,46000,11097,10000
"2021-07-23 00:00:00",178414,177292,45528,46000,11174,10000
"2021-07-24 00:00:00",178379,177292,45461,46000,11245,10000
"2021-07-25 00:00:00",178328,177292,45397,46000,11311,10000
"2021-07-26 00:00:00",178263,177292,45337,46000,11371,10000
"2021-07-27 00:00:00",178182,177292,45281,46000,11425,10000
"2021-07-28 00:00:00",178086,177292,45230,46000,11473,10000
"2021-07-29 00:00:00",177974,177292,45182,46000,11516,10000
"2021-07-30 00:00:00",177846,177292,45138,46000,11552,10000
"2021-07-31 00:00:00",177702,177292,45097,46000,11583,10000
"2021-08-01 00:00:00",177542,177292,45060,46000,11608,10000
"2021-08-02 00:00:00",177363,177292,45027,46000,11628,10000
"2021-08-03 00:00:00",177165,177292,44996,46000,11643,10000
"2021-08-04 00:00:00",176947,177292,44968,46000,11653,10000
"2021-08-05 00:00:00",176706,177292,44943,46000,11658,10000
"2021-08-06 00:00:00",176440,177292,44920,46000,11658,10000
"2021-08-07 00:00:00",176144,177292,44898,46000,11654,10000
"2021-08-08 00:00:00",175811,177292,44877,46000,11645,10000
"2021-08-09 00:00:00",175435,177292,44856,46000,11633,10000
"2021-08-10 00:00:00",175000,177292,44836,46000,11616,10000
"2021-08-11 00:00:00",174481,177292,44815,46000,11595,10000
"2021-08-12 00:00:00",173826,177292,44792,46000,11571,10000
"2021-08-13 00:00:00",172900,177292,44766,46000,11543,10000
"2021-08-14 00:00:00",171375,177292,44736,46000,11512,10000
"2021-08-15 00:00:00",169189,177292,44702,46000,11478,10000
"2021-08-16 00:00:00",166427,177292,44659,46000,11440,10000
"2021-08-17 00:00:00",163164,177292,44608,46000,11400,10000
"2021-08-18 00:00:00",159474,177292,44545,46000,11357,10000
"2021-08-19 00:00:00",155424,177292,44466,46000,11311,10000
"2021-08-20 00:00:00",151075,177292,44368,46000,11263,10000
"2021-08-21 00:00:00",146487,177292,44244,46000,11212,10000
"2021-08-22 00:00:00",141717,177292,44086,46000,11159,10000
"2021-08-23 00:00:00",136825,177292,43876,46000,11104,10000
"2021-08-24 00:00:00",131888,177292,43580,46000,11045,10000
"2021-08-25 00:00:00",127016,177292,43124,46000,10983,10000
"2021-08-26 00:00:00",122227,177292,42522,46000,10917,10000
"2021-08-27 00:00:00",117513,177292,41811,46000,10847,10000
"2021-08-28 00:00:00",112873,177292,41019,46000,10774,10000
"2021-08-29 00:00:00",108312,177292,40162,46000,10697,10000
"2021-08-30 00:00:00",103836,177292,39255,46000,10618,10000
"2021-08-31 00:00:00",99453,177292,38309,46000,10537,10000
"2021-09-01 00:00:00",95170,177292,37331,46000,10453,10000
"2021-09-02 00:00:00",90994,177292,36330,46000,10366,10000
"2021-09-03 00:00:00",86929,177292,35311,46000,10277,10000
"2021-09-04 00:00:00",82961,177292,34260,46000,10227,10000
"2021-09-05 00:00:00",79089,177292,33175,46000,10224,10000
"2021-09-06 00:00:00",75339,177292,32086,46000,10221,10000
"2021-09-07 00:00:00",71713,177292,30995,46000,10219,10000
"2021-09-08 00:00:00",68213,177292,29906,46000,10216,10000
"2021-09-09 00:00:00",64838,177292,28823,46000,10213,10000
"2021-09-10 00:00:00",61588,177292,27748,46000,10210,10000
"2021-09-11 00:00:00",58462,177292,26683,46000,10208,10000
"2021-09-12 00:00:00",55460,177292,25631,46000,10205,10000
"2021-09-13 00:00:00",52579,177292,24593,46000,10202,10000
"2021-09-14 00:00:00",49817,177292,23570,46000,10199,10000
"2021-09-15 00:00:00",47173,177292,22565,46000,10196,10000
"2021-09-16 00:00:00",44642,177292,21579,46000,10193,10000
"2021-09-17 00:00:00",42223,177292,20611,46000,10189,10000
"2021-09-18 00:00:00",39913,177292,19664,46000,10186,10000
"2021-09-19 00:00:00",37708,177292,18737,46000,10182,10000
"2021-09-20 00:00:00",35605,177292,17832,46000,10178,10000
"2021-09-21 00:00:00",33601,177292,16948,46000,10174,10000
"2021-09-22 00:00:00",31692,177292,16086,46000,10170,10000
"2021-09-23 00:00:00",29876,177292,15247,46000,10165,10000
"2021-09-24 00:00:00",28148,177292,14429,46000,10160,10000
"2021-09-25 00:00:00",26507,177292,13634,46000,10154,10000
"2021-09-26 00:00:00",24947,177292,12861,46000,10148,10000
"2021-09-27 00:00:00",23467,177292,12110,46000,10141,10000
"2021-09-28 00:00:00",22063,177292,11381,46000,10134,10000
"2021-09-29 00:00:00",20732,177292,10674,46000,10125,10000
"2021-09-30 00:00:00",19471,177292,9989,46000,10115,10000
"2021-10-01 00:00:00",18278,177292,9324,46000,10104,10000
"2021-10-02 00:00:00",17149,177292,8682,46000,10090,10000
"2021-10-03 00:00:00",16082,177292,8060,46000,10074,10000
"2021-10-04 00:00:00",15075,177292,7460,46000,10053,10000
"2021-10-05 00:00:00",14127,177292,6882,46000,10027,10000
"2021-10-06 00:00:00",13235,177292,6328,46000,9991,10000
"2021-10-07 00:00:00",12399,177292,5803,46000,9939,10000
"2021-10-08 00:00:00",11621,177292,5315,46000,9857,10000
"2021-10-09 00:00:00",10906,177292,4891,46000,9711,10000
"2021-10-10 00:00:00",10259,177292,4560,46000,9464,10000
"2021-10-11 00:00:00",9665,177292,4294,46000,9157,10000
"2021-10-12 00:00:00",9114,177292,4068,46000,8821,10000
"2021-10-13 00:00:00",8600,177292,3870,46000,8475,10000
"2021-10-14 00:00:00",8117,177292,3689,46000,8129,10000
