"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)","Predicted Reported + Unreported","Predicted Reported + Unreported (low)","Predicted Reported + Unreported (high)"
"2021-03-01 00:00:00",80,4,4,4,9,9,9
"2021-03-02 00:00:00",42,5,5,5,10,10,10
"2021-03-03 00:00:00",35,5,5,5,11,11,11
"2021-03-04 00:00:00",54,6,6,6,12,12,12
"2021-03-05 00:00:00",79,7,7,7,14,14,14
"2021-03-06 00:00:00",64,7,7,7,15,15,15
"2021-03-07 00:00:00",65,8,8,8,18,18,18
"2021-03-08 00:00:00",71,10,10,10,20,20,20
"2021-03-09 00:00:00",60,11,11,11,22,22,22
"2021-03-10 00:00:00",39,12,12,12,25,25,25
"2021-03-11 00:00:00",58,13,13,13,28,28,28
"2021-03-12 00:00:00",81,15,15,15,31,31,31
"2021-03-13 00:00:00",78,17,17,17,34,34,34
"2021-03-14 00:00:00",170,18,18,18,38,38,38
"2021-03-15 00:00:00",78,20,20,20,42,42,42
"2021-03-16 00:00:00",149,22,22,22,47,47,47
"2021-03-17 00:00:00",248,25,25,25,52,52,52
"2021-03-18 00:00:00",92,27,27,27,57,57,57
"2021-03-19 00:00:00",100,30,30,30,63,63,63
"2021-03-20 00:00:00",119,33,33,33,70,70,70
"2021-03-21 00:00:00",90,36,36,36,77,77,77
"2021-03-22 00:00:00",73,40,40,40,84,84,84
"2021-03-23 00:00:00",401,44,44,44,93,93,93
"2021-03-24 00:00:00",69,48,48,48,102,102,102
"2021-03-25 00:00:00",97,53,53,53,112,112,112
"2021-03-26 00:00:00",134,58,58,58,123,123,123
"2021-03-27 00:00:00",80,64,64,64,135,135,135
"2021-03-28 00:00:00",77,70,70,70,149,149,149
"2021-03-29 00:00:00",39,77,77,77,163,163,163
"2021-03-30 00:00:00",48,84,84,84,179,179,179
"2021-03-31 00:00:00",42,92,92,92,197,197,197
"2021-04-01 00:00:00",26,101,101,101,216,216,216
"2021-04-02 00:00:00",58,111,111,111,237,237,237
"2021-04-03 00:00:00",84,122,122,122,260,260,260
"2021-04-04 00:00:00",96,133,133,133,285,285,285
"2021-04-05 00:00:00",194,146,146,146,312,312,312
"2021-04-06 00:00:00",250,160,160,160,342,342,342
"2021-04-07 00:00:00",334,175,175,175,375,375,375
"2021-04-08 00:00:00",405,192,192,192,411,411,411
"2021-04-09 00:00:00",559,210,210,210,451,451,451
"2021-04-10 00:00:00",789,230,230,230,494,494,494
"2021-04-11 00:00:00",967,252,252,252,541,541,541
"2021-04-12 00:00:00",985,276,276,276,593,593,593
"2021-04-13 00:00:00",965,303,303,303,650,650,650
"2021-04-14 00:00:00",1338,331,331,331,712,712,712
"2021-04-15 00:00:00",1543,363,363,363,780,780,780
"2021-04-16 00:00:00",1582,397,397,397,855,855,855
"2021-04-17 00:00:00",1547,435,435,435,936,936,936
"2021-04-18 00:00:00",1767,476,476,476,1026,1026,1026
"2021-04-19 00:00:00",1390,521,521,521,1123,1123,1123
"2021-04-20 00:00:00",1443,571,571,571,1231,1231,1231
"2021-04-21 00:00:00",1458,625,625,625,1348,1348,1348
"2021-04-22 00:00:00",1470,684,684,684,1476,1476,1476
"2021-04-23 00:00:00",2070,749,749,749,1617,1617,1617
"2021-04-24 00:00:00",2839,819,819,819,1771,1771,1771
"2021-04-25 00:00:00",2438,897,897,897,1939,1939,1939
"2021-04-26 00:00:00",2048,982,982,982,2123,2123,2123
"2021-04-27 00:00:00",2179,1074,1074,1074,2325,2325,2325
"2021-04-28 00:00:00",2012,1176,1176,1176,2546,2546,2546
"2021-04-29 00:00:00",1871,1287,1287,1287,2788,2788,2788
"2021-04-30 00:00:00",1583,1409,1409,1409,3053,3053,3053
"2021-05-01 00:00:00",1891,1542,1542,1542,3342,3342,3342
"2021-05-02 00:00:00",1940,1687,1687,1687,3660,3660,3660
"2021-05-03 00:00:00",2041,1847,1847,1847,4007,4007,4007
"2021-05-04 00:00:00",1763,2021,2021,2021,4387,4387,4387
"2021-05-05 00:00:00",2112,2211,2211,2211,4802,4802,4802
"2021-05-06 00:00:00",1911,2420,2420,2420,5257,5257,5257
"2021-05-07 00:00:00",2044,2648,2648,2648,5755,5755,5755
"2021-05-08 00:00:00",2419,2898,2898,2898,6300,6300,6300
"2021-05-09 00:00:00",2101,3171,3171,3171,6896,6896,6896
"2021-05-10 00:00:00",1630,3469,3469,3469,7548,7548,7548
"2021-05-11 00:00:00",1919,3796,3796,3796,8261,8261,8261
"2021-05-12 00:00:00",1983,4153,4153,4153,9042,9042,9042
"2021-05-13 00:00:00",4887,4543,4543,4543,9896,9896,9896
"2021-05-14 00:00:00",2256,4970,4970,4970,10829,10829,10829
"2021-05-15 00:00:00",3095,5436,5436,5436,11850,11850,11850
"2021-05-16 00:00:00",2302,5946,5946,5946,12967,12967,12967
"2021-05-17 00:00:00",9635,6504,6504,6504,14188,14188,14188
"2021-05-18 00:00:00",2473,7113,7113,7113,15522,15522,15522
"2021-05-19 00:00:00",3394,7779,7779,7779,16981,16981,16981
"2021-05-20 00:00:00",2636,8507,8507,8507,18575,18575,18575
"2021-05-21 00:00:00",3481,9302,9302,9302,20318,20318,20318
"2021-05-22 00:00:00",3052,10170,10170,10170,22221,22221,22221
"2021-05-23 00:00:00",3382,11118,11118,11118,24300,24300,24300
"2021-05-24 00:00:00",2713,12153,12153,12153,26570,26570,26570
