"DateTime","Hospital Surge Beds","Max Hospital Beds","ICU Beds","Max ICU Beds","Ventilators","Max Ventilators"
"2021-03-01 00:00:00",0,177292,0,46000,0,10000
"2021-03-02 00:00:00",0,177292,0,46000,0,10000
"2021-03-03 00:00:00",0,177292,0,46000,0,10000
"2021-03-04 00:00:00",1,177292,0,46000,0,10000
"2021-03-05 00:00:00",1,177292,0,46000,0,10000
"2021-03-06 00:00:00",1,177292,0,46000,0,10000
"2021-03-07 00:00:00",2,177292,0,46000,0,10000
"2021-03-08 00:00:00",2,177292,0,46000,1,10000
"2021-03-09 00:00:00",3,177292,0,46000,1,10000
"2021-03-10 00:00:00",3,177292,0,46000,1,10000
"2021-03-11 00:00:00",4,177292,0,46000,1,10000
"2021-03-12 00:00:00",4,177292,0,46000,1,10000
"2021-03-13 00:00:00",5,177292,1,46000,1,10000
"2021-03-14 00:00:00",5,177292,1,46000,1,10000
"2021-03-15 00:00:00",6,177292,1,46000,2,10000
"2021-03-16 00:00:00",7,177292,1,46000,2,10000
"2021-03-17 00:00:00",7,177292,1,46000,2,10000
"2021-03-18 00:00:00",8,177292,1,46000,2,10000
"2021-03-19 00:00:00",9,177292,1,46000,2,10000
"2021-03-20 00:00:00",10,177292,1,46000,3,10000
"2021-03-21 00:00:00",11,177292,1,46000,3,10000
"2021-03-22 00:00:00",12,177292,2,46000,3,10000
"2021-03-23 00:00:00",13,177292,2,46000,4,10000
"2021-03-24 00:00:00",15,177292,2,46000,4,10000
"2021-03-25 00:00:00",16,177292,2,46000,4,10000
"2021-03-26 00:00:00",17,177292,2,46000,5,10000
"2021-03-27 00:00:00",19,177292,2,46000,5,10000
"2021-03-28 00:00:00",21,177292,3,46000,6,10000
"2021-03-29 00:00:00",23,177292,3,46000,6,10000
"2021-03-30 00:00:00",25,177292,3,46000,7,10000
"2021-03-31 00:00:00",27,177292,3,46000,8,10000
"2021-04-01 00:00:00",29,177292,4,46000,8,10000
"2021-04-02 00:00:00",32,177292,4,46000,9,10000
"2021-04-03 00:00:00",35,177292,4,46000,10,10000
"2021-04-04 00:00:00",38,177292,5,46000,11,10000
"2021-04-05 00:00:00",42,177292,5,46000,12,10000
"2021-04-06 00:00:00",46,177292,6,46000,13,10000
"2021-04-07 00:00:00",50,177292,6,46000,14,10000
"2021-04-08 00:00:00",54,177292,7,46000,15,10000
"2021-04-09 00:00:00",59,177292,8,46000,17,10000
"2021-04-10 00:00:00",65,177292,8,46000,18,10000
"2021-04-11 00:00:00",71,177292,9,46000,20,10000
"2021-04-12 00:00:00",77,177292,10,46000,22,10000
"2021-04-13 00:00:00",84,177292,11,46000,24,10000
"2021-04-14 00:00:00",92,177292,12,46000,26,10000
"2021-04-15 00:00:00",101,177292,13,46000,29,10000
"2021-04-16 00:00:00",110,177292,14,46000,31,10000
"2021-04-17 00:00:00",120,177292,15,46000,34,10000
"2021-04-18 00:00:00",132,177292,17,46000,38,10000
"2021-04-19 00:00:00",144,177292,18,46000,41,10000
"2021-04-20 00:00:00",157,177292,20,46000,45,10000
"2021-04-21 00:00:00",172,177292,22,46000,49,10000
"2021-04-22 00:00:00",188,177292,24,46000,54,10000
"2021-04-23 00:00:00",206,177292,26,46000,59,10000
"2021-04-24 00:00:00",225,177292,29,46000,64,10000
"2021-04-25 00:00:00",246,177292,32,46000,70,10000
"2021-04-26 00:00:00",269,177292,34,46000,77,10000
"2021-04-27 00:00:00",295,177292,38,46000,84,10000
"2021-04-28 00:00:00",322,177292,41,46000,92,10000
"2021-04-29 00:00:00",353,177292,45,46000,100,10000
"2021-04-30 00:00:00",386,177292,49,46000,110,10000
"2021-05-01 00:00:00",422,177292,54,46000,120,10000
"2021-05-02 00:00:00",462,177292,59,46000,132,10000
"2021-05-03 00:00:00",505,177292,65,46000,144,10000
"2021-05-04 00:00:00",553,177292,71,46000,157,10000
"2021-05-05 00:00:00",605,177292,77,46000,172,10000
"2021-05-06 00:00:00",662,177292,85,46000,189,10000
"2021-05-07 00:00:00",725,177292,93,46000,206,10000
"2021-05-08 00:00:00",793,177292,101,46000,226,10000
"2021-05-09 00:00:00",868,177292,111,46000,247,10000
"2021-05-10 00:00:00",950,177292,121,46000,270,10000
"2021-05-11 00:00:00",1039,177292,133,46000,296,10000
"2021-05-12 00:00:00",1137,177292,145,46000,324,10000
"2021-05-13 00:00:00",1245,177292,159,46000,354,10000
"2021-05-14 00:00:00",1362,177292,174,46000,388,10000
"2021-05-15 00:00:00",1490,177292,191,46000,424,10000
"2021-05-16 00:00:00",1631,177292,209,46000,464,10000
"2021-05-17 00:00:00",1784,177292,228,46000,508,10000
"2021-05-18 00:00:00",1952,177292,250,46000,556,10000
"2021-05-19 00:00:00",2136,177292,273,46000,608,10000
"2021-05-20 00:00:00",2337,177292,299,46000,665,10000
"2021-05-21 00:00:00",2557,177292,327,46000,728,10000
"2021-05-22 00:00:00",2797,177292,358,46000,796,10000
"2021-05-23 00:00:00",3060,177292,391,46000,871,10000
"2021-05-24 00:00:00",3347,177292,428,46000,953,10000
"2021-05-25 00:00:00",3661,177292,468,46000,1042,10000
"2021-05-26 00:00:00",4004,177292,512,46000,1140,10000
"2021-05-27 00:00:00",4378,177292,560,46000,1247,10000
"2021-05-28 00:00:00",4788,177292,613,46000,1363,10000
"2021-05-29 00:00:00",5235,177292,670,46000,1491,10000
"2021-05-30 00:00:00",5723,177292,732,46000,1630,10000
"2021-05-31 00:00:00",6256,177292,801,46000,1782,10000
"2021-06-01 00:00:00",6837,177292,875,46000,1948,10000
"2021-06-02 00:00:00",7472,177292,957,46000,2129,10000
"2021-06-03 00:00:00",8164,177292,1045,46000,2326,10000
"2021-06-04 00:00:00",8919,177292,1142,46000,2542,10000
"2021-06-05 00:00:00",9741,177292,1248,46000,2777,10000
"2021-06-06 00:00:00",10637,177292,1363,46000,3032,10000
"2021-06-07 00:00:00",11613,177292,1488,46000,3311,10000
"2021-06-08 00:00:00",12676,177292,1625,46000,3615,10000
"2021-06-09 00:00:00",13831,177292,1774,46000,3945,10000
"2021-06-10 00:00:00",15088,177292,1936,46000,4304,10000
"2021-06-11 00:00:00",16453,177292,2112,46000,4695,10000
"2021-06-12 00:00:00",17936,177292,2304,46000,5119,10000
"2021-06-13 00:00:00",19545,177292,2512,46000,5579,10000
"2021-06-14 00:00:00",21289,177292,2739,46000,6078,10000
"2021-06-15 00:00:00",23179,177292,2985,46000,6618,10000
"2021-06-16 00:00:00",25224,177292,3252,46000,7203,10000
"2021-06-17 00:00:00",27435,177292,3542,46000,7834,10000
"2021-06-18 00:00:00",29822,177292,3857,46000,8516,10000
"2021-06-19 00:00:00",32397,177292,4200,46000,9250,10000
"2021-06-20 00:00:00",35171,177292,4640,46000,9970,10000
"2021-06-21 00:00:00",38155,177292,5784,46000,10077,10000
"2021-06-22 00:00:00",41360,177292,7099,46000,10106,10000
"2021-06-23 00:00:00",44797,177292,8523,46000,10126,10000
"2021-06-24 00:00:00",48475,177292,10056,46000,10141,10000
"2021-06-25 00:00:00",52404,177292,11700,46000,10153,10000
"2021-06-26 00:00:00",56592,177292,13459,46000,10164,10000
"2021-06-27 00:00:00",61047,177292,15335,46000,10172,10000
"2021-06-28 00:00:00",65774,177292,17332,46000,10180,10000
"2021-06-29 00:00:00",70776,177292,19452,46000,10187,10000
"2021-06-30 00:00:00",76055,177292,21695,46000,10193,10000
"2021-07-01 00:00:00",81610,177292,24062,46000,10198,10000
"2021-07-02 00:00:00",87436,177292,26552,46000,10203,10000
"2021-07-03 00:00:00",93526,177292,29162,46000,10208,10000
"2021-07-04 00:00:00",99868,177292,31888,46000,10213,10000
"2021-07-05 00:00:00",106448,177292,34724,46000,10217,10000
"2021-07-06 00:00:00",113245,177292,37663,46000,10222,10000
"2021-07-07 00:00:00",120238,177292,40694,46000,10226,10000
"2021-07-08 00:00:00",127396,177292,43806,46000,10231,10000
"2021-07-09 00:00:00",135906,177292,45774,46000,10229,10000
"2021-07-10 00:00:00",146327,177292,45963,46000,10231,10000
"2021-07-11 00:00:00",156928,177292,46040,46000,10235,10000
"2021-07-12 00:00:00",167549,177292,46100,46000,10241,10000
"2021-07-13 00:00:00",176550,177292,46145,46000,10249,10000
"2021-07-14 00:00:00",177539,177292,46168,46000,10273,10000
"2021-07-15 00:00:00",177696,177292,46164,46000,10317,10000
"2021-07-16 00:00:00",177818,177292,46139,46000,10377,10000
"2021-07-17 00:00:00",177922,177292,46098,46000,10448,10000
"2021-07-18 00:00:00",178009,177292,46045,46000,10527,10000
"2021-07-19 00:00:00",178079,177292,45985,46000,10610,10000
"2021-07-20 00:00:00",178133,177292,45918,46000,10695,10000
"2021-07-21 00:00:00",178171,177292,45849,46000,10781,10000
"2021-07-22 00:00:00",178194,177292,45778,46000,10865,10000
"2021-07-23 00:00:00",178201,177292,45708,46000,10946,10000
"2021-07-24 00:00:00",178192,177292,45639,46000,11023,10000
"2021-07-25 00:00:00",178168,177292,45571,46000,11096,10000
"2021-07-26 00:00:00",178129,177292,45507,46000,11165,10000
"2021-07-27 00:00:00",178075,177292,45446,46000,11227,10000
"2021-07-28 00:00:00",178005,177292,45388,46000,11285,10000
"2021-07-29 00:00:00",177921,177292,45334,46000,11337,10000
"2021-07-30 00:00:00",177820,177292,45283,46000,11383,10000
"2021-07-31 00:00:00",177704,177292,45236,46000,11423,10000
"2021-08-01 00:00:00",177572,177292,45193,46000,11458,10000
"2021-08-02 00:00:00",177423,177292,45153,46000,11488,10000
"2021-08-03 00:00:00",177256,177292,45116,46000,11512,10000
"2021-08-04 00:00:00",177071,177292,45082,46000,11531,10000
"2021-08-05 00:00:00",176865,177292,45051,46000,11545,10000
"2021-08-06 00:00:00",176637,177292,45022,46000,11554,10000
"2021-08-07 00:00:00",176384,177292,44996,46000,11558,10000
"2021-08-08 00:00:00",176103,177292,44971,46000,11558,10000
"2021-08-09 00:00:00",175787,177292,44947,46000,11554,10000
"2021-08-10 00:00:00",175428,177292,44924,46000,11545,10000
"2021-08-11 00:00:00",175015,177292,44900,46000,11532,10000
"2021-08-12 00:00:00",174525,177292,44877,46000,11515,10000
"2021-08-13 00:00:00",173912,177292,44851,46000,11494,10000
"2021-08-14 00:00:00",173067,177292,44824,46000,11470,10000
"2021-08-15 00:00:00",171688,177292,44793,46000,11443,10000
"2021-08-16 00:00:00",169656,177292,44757,46000,11412,10000
"2021-08-17 00:00:00",167050,177292,44714,46000,11378,10000
"2021-08-18 00:00:00",163944,177292,44663,46000,11340,10000
"2021-08-19 00:00:00",160406,177292,44602,46000,11300,10000
"2021-08-20 00:00:00",156501,177292,44527,46000,11258,10000
"2021-08-21 00:00:00",152290,177292,44434,46000,11213,10000
"2021-08-22 00:00:00",147829,177292,44319,46000,11165,10000
"2021-08-23 00:00:00",143172,177292,44173,46000,11115,10000
"2021-08-24 00:00:00",138377,177292,43985,46000,11062,10000
"2021-08-25 00:00:00",133511,177292,43726,46000,11007,10000
"2021-08-26 00:00:00",128674,177292,43331,46000,10947,10000
"2021-08-27 00:00:00",123919,177292,42782,46000,10884,10000
"2021-08-28 00:00:00",119234,177292,42118,46000,10817,10000
"2021-08-29 00:00:00",114619,177292,41366,46000,10747,10000
"2021-08-30 00:00:00",110077,177292,40546,46000,10673,10000
"2021-08-31 00:00:00",105616,177292,39671,46000,10597,10000
"2021-09-01 00:00:00",101242,177292,38753,46000,10518,10000
"2021-09-02 00:00:00",96962,177292,37800,46000,10436,10000
"2021-09-03 00:00:00",92784,177292,36820,46000,10352,10000
"2021-09-04 00:00:00",88713,177292,35820,46000,10265,10000
"2021-09-05 00:00:00",84730,177292,34778,46000,10227,10000
"2021-09-06 00:00:00",80846,177292,33705,46000,10224,10000
"2021-09-07 00:00:00",77080,177292,32625,46000,10221,10000
"2021-09-08 00:00:00",73435,177292,31541,46000,10219,10000
"2021-09-09 00:00:00",69912,177292,30457,46000,10216,10000
"2021-09-10 00:00:00",66512,177292,29377,46000,10214,10000
"2021-09-11 00:00:00",63234,177292,28302,46000,10211,10000
"2021-09-12 00:00:00",60079,177292,27237,46000,10208,10000
"2021-09-13 00:00:00",57046,177292,26181,46000,10205,10000
"2021-09-14 00:00:00",54132,177292,25139,46000,10203,10000
"2021-09-15 00:00:00",51336,177292,24111,46000,10200,10000
"2021-09-16 00:00:00",48657,177292,23099,46000,10197,10000
"2021-09-17 00:00:00",46091,177292,22105,46000,10194,10000
"2021-09-18 00:00:00",43635,177292,21128,46000,10190,10000
"2021-09-19 00:00:00",41288,177292,20171,46000,10187,10000
"2021-09-20 00:00:00",39046,177292,19234,46000,10183,10000
"2021-09-21 00:00:00",36906,177292,18318,46000,10179,10000
"2021-09-22 00:00:00",34865,177292,17422,46000,10175,10000
"2021-09-23 00:00:00",32920,177292,16548,46000,10171,10000
"2021-09-24 00:00:00",31068,177292,15696,46000,10167,10000
"2021-09-25 00:00:00",29304,177292,14865,46000,10162,10000
"2021-09-26 00:00:00",27627,177292,14057,46000,10156,10000
"2021-09-27 00:00:00",26033,177292,13270,46000,10150,10000
"2021-09-28 00:00:00",24519,177292,12506,46000,10144,10000
"2021-09-29 00:00:00",23081,177292,11763,46000,10137,10000
"2021-09-30 00:00:00",21717,177292,11042,46000,10128,10000
"2021-10-01 00:00:00",20424,177292,10342,46000,10119,10000
"2021-10-02 00:00:00",19198,177292,9664,46000,10109,10000
"2021-10-03 00:00:00",18038,177292,9007,46000,10096,10000
"2021-10-04 00:00:00",16941,177292,8371,46000,10081,10000
"2021-10-05 00:00:00",15904,177292,7757,46000,10063,10000
"2021-10-06 00:00:00",14926,177292,7165,46000,10039,10000
"2021-10-07 00:00:00",14005,177292,6596,46000,10008,10000
"2021-10-08 00:00:00",13139,177292,6053,46000,9965,10000
"2021-10-09 00:00:00",12329,177292,5542,46000,9900,10000
"2021-10-10 00:00:00",11578,177292,5081,46000,9790,10000
"2021-10-11 00:00:00",10892,177292,4707,46000,9590,10000
"2021-10-12 00:00:00",10265,177292,4414,46000,9308,10000
"2021-10-13 00:00:00",9684,177292,4173,46000,8985,10000
"2021-10-14 00:00:00",9142,177292,3963,46000,8644,10000
