"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)","Predicted Reported + Unreported","Predicted Reported + Unreported (low)","Predicted Reported + Unreported (high)"
"2021-03-01 00:00:00",80,4,4,4,9,9,9
"2021-03-02 00:00:00",42,5,5,5,10,10,10
"2021-03-03 00:00:00",35,5,5,5,11,11,11
"2021-03-04 00:00:00",54,6,6,6,12,12,12
"2021-03-05 00:00:00",79,7,7,7,14,14,14
"2021-03-06 00:00:00",64,7,7,7,15,15,15
"2021-03-07 00:00:00",65,8,8,8,18,18,18
"2021-03-08 00:00:00",71,10,10,10,20,20,20
"2021-03-09 00:00:00",60,11,11,11,22,22,22
"2021-03-10 00:00:00",39,12,12,12,25,25,25
"2021-03-11 00:00:00",58,13,13,13,28,28,28
"2021-03-12 00:00:00",81,15,15,15,31,31,31
"2021-03-13 00:00:00",78,17,17,17,34,34,34
"2021-03-14 00:00:00",170,18,18,18,38,38,38
"2021-03-15 00:00:00",78,20,20,20,42,42,42
"2021-03-16 00:00:00",149,22,22,22,47,47,47
"2021-03-17 00:00:00",248,25,25,25,52,52,52
"2021-03-18 00:00:00",92,27,27,27,57,57,57
"2021-03-19 00:00:00",100,30,30,30,63,63,63
"2021-03-20 00:00:00",119,33,33,33,70,70,70
"2021-03-21 00:00:00",90,36,36,36,77,77,77
"2021-03-22 00:00:00",73,40,40,40,84,84,84
"2021-03-23 00:00:00",401,44,44,44,93,93,93
"2021-03-24 00:00:00",69,48,48,48,102,102,102
"2021-03-25 00:00:00",97,53,53,53,112,112,112
"2021-03-26 00:00:00",134,58,58,58,123,123,123
"2021-03-27 00:00:00",80,64,64,64,135,135,135
"2021-03-28 00:00:00",77,70,70,70,149,149,149
"2021-03-29 00:00:00",39,77,77,77,163,163,163
"2021-03-30 00:00:00",48,84,84,84,179,179,179
"2021-03-31 00:00:00",42,93,93,93,197,197,197
"2021-04-01 00:00:00",26,102,102,102,216,216,216
"2021-04-02 00:00:00",58,111,111,111,237,237,237
"2021-04-03 00:00:00",84,122,122,122,260,260,260
"2021-04-04 00:00:00",96,134,134,134,285,285,285
"2021-04-05 00:00:00",194,147,147,147,312,312,312
"2021-04-06 00:00:00",250,161,161,161,343,343,343
"2021-04-07 00:00:00",334,176,176,176,376,376,376
"2021-04-08 00:00:00",405,193,193,193,412,412,412
"2021-04-09 00:00:00",559,211,211,211,451,451,451
"2021-04-10 00:00:00",789,232,232,232,495,495,495
"2021-04-11 00:00:00",967,254,254,254,542,542,542
"2021-04-12 00:00:00",985,278,278,278,594,594,594
"2021-04-13 00:00:00",965,304,304,304,651,651,651
"2021-04-14 00:00:00",1338,333,333,333,713,713,713
"2021-04-15 00:00:00",1543,365,365,365,781,781,781
"2021-04-16 00:00:00",1582,400,400,400,856,856,856
"2021-04-17 00:00:00",1547,438,438,438,938,938,938
"2021-04-18 00:00:00",1767,480,480,480,1028,1028,1028
"2021-04-19 00:00:00",1390,525,525,525,1126,1126,1126
"2021-04-20 00:00:00",1443,575,575,575,1233,1233,1233
"2021-04-21 00:00:00",1458,630,630,630,1351,1351,1351
"2021-04-22 00:00:00",1470,689,689,689,1479,1479,1479
"2021-04-23 00:00:00",2070,755,755,755,1621,1621,1621
"2021-04-24 00:00:00",2839,827,827,827,1775,1775,1775
"2021-04-25 00:00:00",2438,905,905,905,1944,1944,1944
"2021-04-26 00:00:00",2048,991,991,991,2129,2129,2129
"2021-04-27 00:00:00",2179,1085,1085,1085,2332,2332,2332
"2021-04-28 00:00:00",2012,1188,1188,1188,2554,2554,2554
"2021-04-29 00:00:00",1871,1301,1301,1301,2797,2797,2797
"2021-04-30 00:00:00",1583,1424,1424,1424,3063,3063,3063
"2021-05-01 00:00:00",1891,1559,1559,1559,3354,3354,3354
"2021-05-02 00:00:00",1940,1707,1707,1707,3673,3673,3673
"2021-05-03 00:00:00",2041,1869,1869,1869,4022,4022,4022
"2021-05-04 00:00:00",1763,2046,2046,2046,4403,4403,4403
"2021-05-05 00:00:00",2112,2239,2239,2239,4822,4822,4822
"2021-05-06 00:00:00",1911,2451,2451,2451,5279,5279,5279
"2021-05-07 00:00:00",2044,2683,2683,2683,5780,5780,5780
"2021-05-08 00:00:00",2419,2937,2937,2937,6328,6328,6328
"2021-05-09 00:00:00",2101,3215,3215,3215,6928,6928,6928
"2021-05-10 00:00:00",1630,3519,3519,3519,7585,7585,7585
"2021-05-11 00:00:00",1919,3851,3851,3851,8303,8303,8303
"2021-05-12 00:00:00",1983,4215,4215,4215,9089,9089,9089
"2021-05-13 00:00:00",4887,4613,4613,4613,9949,9949,9949
"2021-05-14 00:00:00",2256,5048,5048,5048,10889,10889,10889
"2021-05-15 00:00:00",3095,5524,5524,5524,11918,11918,11918
"2021-05-16 00:00:00",2302,6045,6045,6045,13044,13044,13044
"2021-05-17 00:00:00",9635,6614,6614,6614,14274,14274,14274
"2021-05-18 00:00:00",2473,7237,7237,7237,15620,15620,15620
"2021-05-19 00:00:00",3394,7917,7917,7917,17092,17092,17092
"2021-05-20 00:00:00",2636,8661,8661,8661,18700,18700,18700
"2021-05-21 00:00:00",3481,9473,9473,9473,20458,20458,20458
"2021-05-22 00:00:00",3052,10362,10362,10362,22379,22379,22379
"2021-05-23 00:00:00",3382,11332,11332,11332,24478,24478,24478
"2021-05-24 00:00:00",2713,12391,12391,12391,26770,26770,26770
