"DateTime","Hospital Surge Beds","Max Hospital Beds","ICU Beds","Max ICU Beds","Ventilators","Max Ventilators"
"2021-03-01 00:00:00",0,177292,0,46000,0,10000
"2021-03-02 00:00:00",0,177292,0,46000,0,10000
"2021-03-03 00:00:00",0,177292,0,46000,0,10000
"2021-03-04 00:00:00",1,177292,0,46000,0,10000
"2021-03-05 00:00:00",1,177292,0,46000,0,10000
"2021-03-06 00:00:00",1,177292,0,46000,0,10000
"2021-03-07 00:00:00",2,177292,0,46000,0,10000
"2021-03-08 00:00:00",2,177292,0,46000,1,10000
"2021-03-09 00:00:00",3,177292,0,46000,1,10000
"2021-03-10 00:00:00",3,177292,0,46000,1,10000
"2021-03-11 00:00:00",4,177292,0,46000,1,10000
"2021-03-12 00:00:00",4,177292,0,46000,1,10000
"2021-03-13 00:00:00",5,177292,1,46000,1,10000
"2021-03-14 00:00:00",5,177292,1,46000,1,10000
"2021-03-15 00:00:00",6,177292,1,46000,2,10000
"2021-03-16 00:00:00",7,177292,1,46000,2,10000
"2021-03-17 00:00:00",7,177292,1,46000,2,10000
"2021-03-18 00:00:00",8,177292,1,46000,2,10000
"2021-03-19 00:00:00",9,177292,1,46000,2,10000
"2021-03-20 00:00:00",10,177292,1,46000,3,10000
"2021-03-21 00:00:00",11,177292,1,46000,3,10000
"2021-03-22 00:00:00",12,177292,2,46000,3,10000
"2021-03-23 00:00:00",13,177292,2,46000,4,10000
"2021-03-24 00:00:00",15,177292,2,46000,4,10000
"2021-03-25 00:00:00",16,177292,2,46000,4,10000
"2021-03-26 00:00:00",17,177292,2,46000,5,10000
"2021-03-27 00:00:00",19,177292,2,46000,5,10000
"2021-03-28 00:00:00",21,177292,3,46000,6,10000
"2021-03-29 00:00:00",23,177292,3,46000,6,10000
"2021-03-30 00:00:00",25,177292,3,46000,7,10000
"2021-03-31 00:00:00",27,177292,3,46000,8,10000
"2021-04-01 00:00:00",29,177292,4,46000,8,10000
"2021-04-02 00:00:00",32,177292,4,46000,9,10000
"2021-04-03 00:00:00",35,177292,4,46000,10,10000
"2021-04-04 00:00:00",38,177292,5,46000,11,10000
"2021-04-05 00:00:00",42,177292,5,46000,12,10000
"2021-04-06 00:00:00",46,177292,6,46000,13,10000
"2021-04-07 00:00:00",50,177292,6,46000,14,10000
"2021-04-08 00:00:00",54,177292,7,46000,15,10000
"2021-04-09 00:00:00",59,177292,8,46000,17,10000
"2021-04-10 00:00:00",65,177292,8,46000,18,10000
"2021-04-11 00:00:00",71,177292,9,46000,20,10000
"2021-04-12 00:00:00",77,177292,10,46000,22,10000
"2021-04-13 00:00:00",85,177292,11,46000,24,10000
"2021-04-14 00:00:00",92,177292,12,46000,26,10000
"2021-04-15 00:00:00",101,177292,13,46000,29,10000
"2021-04-16 00:00:00",110,177292,14,46000,31,10000
"2021-04-17 00:00:00",121,177292,15,46000,34,10000
"2021-04-18 00:00:00",132,177292,17,46000,38,10000
"2021-04-19 00:00:00",144,177292,18,46000,41,10000
"2021-04-20 00:00:00",158,177292,20,46000,45,10000
"2021-04-21 00:00:00",172,177292,22,46000,49,10000
"2021-04-22 00:00:00",189,177292,24,46000,54,10000
"2021-04-23 00:00:00",206,177292,26,46000,59,10000
"2021-04-24 00:00:00",226,177292,29,46000,64,10000
"2021-04-25 00:00:00",247,177292,32,46000,70,10000
"2021-04-26 00:00:00",270,177292,35,46000,77,10000
"2021-04-27 00:00:00",296,177292,38,46000,84,10000
"2021-04-28 00:00:00",324,177292,41,46000,92,10000
"2021-04-29 00:00:00",354,177292,45,46000,101,10000
"2021-04-30 00:00:00",387,177292,50,46000,110,10000
"2021-05-01 00:00:00",424,177292,54,46000,121,10000
"2021-05-02 00:00:00",464,177292,59,46000,132,10000
"2021-05-03 00:00:00",508,177292,65,46000,145,10000
"2021-05-04 00:00:00",556,177292,71,46000,158,10000
"2021-05-05 00:00:00",608,177292,78,46000,173,10000
"2021-05-06 00:00:00",666,177292,85,46000,190,10000
"2021-05-07 00:00:00",729,177292,93,46000,207,10000
"2021-05-08 00:00:00",798,177292,102,46000,227,10000
"2021-05-09 00:00:00",873,177292,112,46000,248,10000
"2021-05-10 00:00:00",956,177292,122,46000,272,10000
"2021-05-11 00:00:00",1046,177292,134,46000,298,10000
"2021-05-12 00:00:00",1145,177292,146,46000,326,10000
"2021-05-13 00:00:00",1253,177292,160,46000,357,10000
"2021-05-14 00:00:00",1372,177292,175,46000,390,10000
"2021-05-15 00:00:00",1501,177292,192,46000,427,10000
"2021-05-16 00:00:00",1643,177292,210,46000,468,10000
"2021-05-17 00:00:00",1798,177292,230,46000,512,10000
"2021-05-18 00:00:00",1968,177292,252,46000,560,10000
"2021-05-19 00:00:00",2154,177292,275,46000,613,10000
"2021-05-20 00:00:00",2357,177292,301,46000,671,10000
"2021-05-21 00:00:00",2579,177292,330,46000,734,10000
"2021-05-22 00:00:00",2822,177292,361,46000,803,10000
"2021-05-23 00:00:00",3088,177292,395,46000,879,10000
"2021-05-24 00:00:00",3379,177292,432,46000,962,10000
"2021-05-25 00:00:00",3697,177292,473,46000,1052,10000
"2021-05-26 00:00:00",4044,177292,517,46000,1151,10000
"2021-05-27 00:00:00",4424,177292,566,46000,1259,10000
"2021-05-28 00:00:00",4839,177292,619,46000,1377,10000
"2021-05-29 00:00:00",5292,177292,677,46000,1507,10000
"2021-05-30 00:00:00",5787,177292,740,46000,1648,10000
"2021-05-31 00:00:00",6327,177292,810,46000,1802,10000
"2021-06-01 00:00:00",6917,177292,885,46000,1970,10000
"2021-06-02 00:00:00",7561,177292,968,46000,2154,10000
"2021-06-03 00:00:00",8264,177292,1058,46000,2354,10000
"2021-06-04 00:00:00",9030,177292,1156,46000,2573,10000
"2021-06-05 00:00:00",9866,177292,1263,46000,2811,10000
"2021-06-06 00:00:00",10776,177292,1380,46000,3071,10000
"2021-06-07 00:00:00",11768,177292,1508,46000,3354,10000
"2021-06-08 00:00:00",12848,177292,1647,46000,3663,10000
"2021-06-09 00:00:00",14023,177292,1798,46000,3998,10000
"2021-06-10 00:00:00",15302,177292,1963,46000,4363,10000
"2021-06-11 00:00:00",16691,177292,2142,46000,4761,10000
"2021-06-12 00:00:00",18200,177292,2337,46000,5192,10000
"2021-06-13 00:00:00",19837,177292,2549,46000,5660,10000
"2021-06-14 00:00:00",21613,177292,2780,46000,6168,10000
"2021-06-15 00:00:00",23538,177292,3030,46000,6718,10000
"2021-06-16 00:00:00",25621,177292,3303,46000,7313,10000
"2021-06-17 00:00:00",27873,177292,3598,46000,7956,10000
"2021-06-18 00:00:00",30306,177292,3920,46000,8650,10000
"2021-06-19 00:00:00",32930,177292,4269,46000,9397,10000
"2021-06-20 00:00:00",35758,177292,4830,46000,10019,10000
"2021-06-21 00:00:00",38799,177292,6038,46000,10084,10000
"2021-06-22 00:00:00",42067,177292,7382,46000,10111,10000
"2021-06-23 00:00:00",45571,177292,8835,46000,10130,10000
"2021-06-24 00:00:00",49321,177292,10398,46000,10144,10000
"2021-06-25 00:00:00",53327,177292,12075,46000,10156,10000
"2021-06-26 00:00:00",57598,177292,13868,46000,10166,10000
"2021-06-27 00:00:00",62140,177292,15782,46000,10174,10000
"2021-06-28 00:00:00",66959,177292,17817,46000,10182,10000
"2021-06-29 00:00:00",72058,177292,19978,46000,10188,10000
"2021-06-30 00:00:00",77438,177292,22264,46000,10194,10000
"2021-07-01 00:00:00",83099,177292,24675,46000,10200,10000
"2021-07-02 00:00:00",89034,177292,27211,46000,10205,10000
"2021-07-03 00:00:00",95235,177292,29868,46000,10210,10000
"2021-07-04 00:00:00",101691,177292,32642,46000,10214,10000
"2021-07-05 00:00:00",108386,177292,35527,46000,10219,10000
"2021-07-06 00:00:00",115299,177292,38514,46000,10223,10000
"2021-07-07 00:00:00",122406,177292,41593,46000,10228,10000
"2021-07-08 00:00:00",129682,177292,44747,46000,10232,10000
"2021-07-09 00:00:00",139185,177292,45874,46000,10229,10000
"2021-07-10 00:00:00",149814,177292,45994,46000,10232,10000
"2021-07-11 00:00:00",160550,177292,46065,46000,10237,10000
"2021-07-12 00:00:00",171290,177292,46120,46000,10243,10000
"2021-07-13 00:00:00",177270,177292,46159,46000,10254,10000
"2021-07-14 00:00:00",177634,177292,46172,46000,10286,10000
"2021-07-15 00:00:00",177774,177292,46161,46000,10337,10000
"2021-07-16 00:00:00",177892,177292,46129,46000,10402,10000
"2021-07-17 00:00:00",177992,177292,46083,46000,10477,10000
"2021-07-18 00:00:00",178076,177292,46027,46000,10559,10000
"2021-07-19 00:00:00",178143,177292,45963,46000,10644,10000
"2021-07-20 00:00:00",178194,177292,45895,46000,10731,10000
"2021-07-21 00:00:00",178229,177292,45824,46000,10817,10000
"2021-07-22 00:00:00",178248,177292,45752,46000,10901,10000
"2021-07-23 00:00:00",178252,177292,45681,46000,10983,10000
"2021-07-24 00:00:00",178241,177292,45611,46000,11060,10000
"2021-07-25 00:00:00",178214,177292,45544,46000,11132,10000
"2021-07-26 00:00:00",178172,177292,45480,46000,11200,10000
"2021-07-27 00:00:00",178114,177292,45419,46000,11262,10000
"2021-07-28 00:00:00",178042,177292,45362,46000,11318,10000
"2021-07-29 00:00:00",177954,177292,45309,46000,11369,10000
"2021-07-30 00:00:00",177851,177292,45259,46000,11414,10000
"2021-07-31 00:00:00",177731,177292,45212,46000,11454,10000
"2021-08-01 00:00:00",177596,177292,45170,46000,11487,10000
"2021-08-02 00:00:00",177444,177292,45131,46000,11516,10000
"2021-08-03 00:00:00",177274,177292,45095,46000,11539,10000
"2021-08-04 00:00:00",177085,177292,45062,46000,11557,10000
"2021-08-05 00:00:00",176876,177292,45032,46000,11570,10000
"2021-08-06 00:00:00",176645,177292,45004,46000,11578,10000
"2021-08-07 00:00:00",176388,177292,44978,46000,11581,10000
"2021-08-08 00:00:00",176102,177292,44954,46000,11580,10000
"2021-08-09 00:00:00",175782,177292,44930,46000,11574,10000
"2021-08-10 00:00:00",175418,177292,44908,46000,11564,10000
"2021-08-11 00:00:00",174998,177292,44885,46000,11550,10000
"2021-08-12 00:00:00",174499,177292,44862,46000,11532,10000
"2021-08-13 00:00:00",173873,177292,44837,46000,11511,10000
"2021-08-14 00:00:00",173001,177292,44810,46000,11486,10000
"2021-08-15 00:00:00",171570,177292,44779,46000,11457,10000
"2021-08-16 00:00:00",169488,177292,44743,46000,11425,10000
"2021-08-17 00:00:00",166833,177292,44701,46000,11390,10000
"2021-08-18 00:00:00",163680,177292,44649,46000,11353,10000
"2021-08-19 00:00:00",160098,177292,44587,46000,11312,10000
"2021-08-20 00:00:00",156153,177292,44511,46000,11268,10000
"2021-08-21 00:00:00",151904,177292,44416,46000,11222,10000
"2021-08-22 00:00:00",147410,177292,44299,46000,11174,10000
"2021-08-23 00:00:00",142725,177292,44149,46000,11123,10000
"2021-08-24 00:00:00",137907,177292,43955,46000,11070,10000
"2021-08-25 00:00:00",133024,177292,43686,46000,11014,10000
"2021-08-26 00:00:00",128183,177292,43273,46000,10954,10000
"2021-08-27 00:00:00",123423,177292,42709,46000,10889,10000
"2021-08-28 00:00:00",118735,177292,42033,46000,10822,10000
"2021-08-29 00:00:00",114117,177292,41270,46000,10751,10000
"2021-08-30 00:00:00",109574,177292,40441,46000,10677,10000
"2021-08-31 00:00:00",105112,177292,39558,46000,10599,10000
"2021-09-01 00:00:00",100739,177292,38633,46000,10520,10000
"2021-09-02 00:00:00",96463,177292,37674,46000,10437,10000
"2021-09-03 00:00:00",92288,177292,36689,46000,10353,10000
"2021-09-04 00:00:00",88222,177292,35684,46000,10266,10000
"2021-09-05 00:00:00",84245,177292,34639,46000,10227,10000
"2021-09-06 00:00:00",80367,177292,33564,46000,10224,10000
"2021-09-07 00:00:00",76609,177292,32481,46000,10221,10000
"2021-09-08 00:00:00",72971,177292,31396,46000,10219,10000
"2021-09-09 00:00:00",69457,177292,30312,46000,10216,10000
"2021-09-10 00:00:00",66066,177292,29231,46000,10213,10000
"2021-09-11 00:00:00",62798,177292,28157,46000,10211,10000
"2021-09-12 00:00:00",59654,177292,27091,46000,10208,10000
"2021-09-13 00:00:00",56630,177292,26037,46000,10205,10000
"2021-09-14 00:00:00",53727,177292,24996,46000,10202,10000
"2021-09-15 00:00:00",50942,177292,23970,46000,10199,10000
"2021-09-16 00:00:00",48273,177292,22960,46000,10196,10000
"2021-09-17 00:00:00",45718,177292,21968,46000,10193,10000
"2021-09-18 00:00:00",43274,177292,20994,46000,10190,10000
"2021-09-19 00:00:00",40938,177292,20040,46000,10187,10000
"2021-09-20 00:00:00",38707,177292,19105,46000,10183,10000
"2021-09-21 00:00:00",36578,177292,18192,46000,10179,10000
"2021-09-22 00:00:00",34547,177292,17299,46000,10175,10000
"2021-09-23 00:00:00",32613,177292,16429,46000,10171,10000
"2021-09-24 00:00:00",30771,177292,15580,46000,10166,10000
"2021-09-25 00:00:00",29017,177292,14753,46000,10161,10000
"2021-09-26 00:00:00",27350,177292,13948,46000,10156,10000
"2021-09-27 00:00:00",25766,177292,13165,46000,10150,10000
"2021-09-28 00:00:00",24261,177292,12404,46000,10143,10000
"2021-09-29 00:00:00",22832,177292,11664,46000,10136,10000
"2021-09-30 00:00:00",21477,177292,10947,46000,10128,10000
"2021-10-01 00:00:00",20193,177292,10251,46000,10118,10000
"2021-10-02 00:00:00",18976,177292,9576,46000,10107,10000
"2021-10-03 00:00:00",17825,177292,8923,46000,10095,10000
"2021-10-04 00:00:00",16736,177292,8290,46000,10079,10000
"2021-10-05 00:00:00",15707,177292,7680,46000,10060,10000
"2021-10-06 00:00:00",14736,177292,7091,46000,10036,10000
"2021-10-07 00:00:00",13822,177292,6526,46000,10004,10000
"2021-10-08 00:00:00",12964,177292,5987,46000,9959,10000
"2021-10-09 00:00:00",12163,177292,5482,46000,9889,10000
"2021-10-10 00:00:00",11421,177292,5030,46000,9772,10000
"2021-10-11 00:00:00",10745,177292,4667,46000,9559,10000
"2021-10-12 00:00:00",10126,177292,4382,46000,9270,10000
"2021-10-13 00:00:00",9552,177292,4145,46000,8943,10000
"2021-10-14 00:00:00",9017,177292,3939,46000,8601,10000
