"DateTime","Hospital Surge Beds","Max Hospital Beds","ICU Beds","Max ICU Beds","Ventilators","Max Ventilators"
"2021-03-01 00:00:00",0,177292,0,46000,0,10000
"2021-03-02 00:00:00",0,177292,0,46000,0,10000
"2021-03-03 00:00:00",0,177292,0,46000,0,10000
"2021-03-04 00:00:00",1,177292,0,46000,0,10000
"2021-03-05 00:00:00",1,177292,0,46000,0,10000
"2021-03-06 00:00:00",1,177292,0,46000,0,10000
"2021-03-07 00:00:00",2,177292,0,46000,0,10000
"2021-03-08 00:00:00",2,177292,0,46000,1,10000
"2021-03-09 00:00:00",3,177292,0,46000,1,10000
"2021-03-10 00:00:00",3,177292,0,46000,1,10000
"2021-03-11 00:00:00",4,177292,0,46000,1,10000
"2021-03-12 00:00:00",4,177292,0,46000,1,10000
"2021-03-13 00:00:00",5,177292,1,46000,1,10000
"2021-03-14 00:00:00",5,177292,1,46000,1,10000
"2021-03-15 00:00:00",6,177292,1,46000,2,10000
"2021-03-16 00:00:00",7,177292,1,46000,2,10000
"2021-03-17 00:00:00",7,177292,1,46000,2,10000
"2021-03-18 00:00:00",8,177292,1,46000,2,10000
"2021-03-19 00:00:00",9,177292,1,46000,2,10000
"2021-03-20 00:00:00",10,177292,1,46000,3,10000
"2021-03-21 00:00:00",11,177292,1,46000,3,10000
"2021-03-22 00:00:00",12,177292,1,46000,3,10000
"2021-03-23 00:00:00",13,177292,2,46000,4,10000
"2021-03-24 00:00:00",15,177292,2,46000,4,10000
"2021-03-25 00:00:00",16,177292,2,46000,4,10000
"2021-03-26 00:00:00",17,177292,2,46000,5,10000
"2021-03-27 00:00:00",19,177292,2,46000,5,10000
"2021-03-28 00:00:00",21,177292,3,46000,6,10000
"2021-03-29 00:00:00",23,177292,3,46000,6,10000
"2021-03-30 00:00:00",25,177292,3,46000,7,10000
"2021-03-31 00:00:00",27,177292,3,46000,8,10000
"2021-04-01 00:00:00",30,177292,4,46000,8,10000
"2021-04-02 00:00:00",32,177292,4,46000,9,10000
"2021-04-03 00:00:00",35,177292,5,46000,10,10000
"2021-04-04 00:00:00",39,177292,5,46000,11,10000
"2021-04-05 00:00:00",42,177292,5,46000,12,10000
"2021-04-06 00:00:00",46,177292,6,46000,13,10000
"2021-04-07 00:00:00",50,177292,6,46000,14,10000
"2021-04-08 00:00:00",55,177292,7,46000,16,10000
"2021-04-09 00:00:00",60,177292,8,46000,17,10000
"2021-04-10 00:00:00",66,177292,8,46000,19,10000
"2021-04-11 00:00:00",72,177292,9,46000,21,10000
"2021-04-12 00:00:00",79,177292,10,46000,22,10000
"2021-04-13 00:00:00",86,177292,11,46000,25,10000
"2021-04-14 00:00:00",94,177292,12,46000,27,10000
"2021-04-15 00:00:00",103,177292,13,46000,29,10000
"2021-04-16 00:00:00",113,177292,14,46000,32,10000
"2021-04-17 00:00:00",124,177292,16,46000,35,10000
"2021-04-18 00:00:00",135,177292,17,46000,39,10000
"2021-04-19 00:00:00",148,177292,19,46000,42,10000
"2021-04-20 00:00:00",162,177292,21,46000,46,10000
"2021-04-21 00:00:00",178,177292,23,46000,51,10000
"2021-04-22 00:00:00",194,177292,25,46000,55,10000
"2021-04-23 00:00:00",213,177292,27,46000,61,10000
"2021-04-24 00:00:00",233,177292,30,46000,66,10000
"2021-04-25 00:00:00",255,177292,33,46000,73,10000
"2021-04-26 00:00:00",280,177292,36,46000,80,10000
"2021-04-27 00:00:00",306,177292,39,46000,87,10000
"2021-04-28 00:00:00",336,177292,43,46000,95,10000
"2021-04-29 00:00:00",368,177292,47,46000,105,10000
"2021-04-30 00:00:00",403,177292,51,46000,114,10000
"2021-05-01 00:00:00",441,177292,56,46000,125,10000
"2021-05-02 00:00:00",483,177292,62,46000,137,10000
"2021-05-03 00:00:00",530,177292,68,46000,151,10000
"2021-05-04 00:00:00",580,177292,74,46000,165,10000
"2021-05-05 00:00:00",636,177292,81,46000,181,10000
"2021-05-06 00:00:00",697,177292,89,46000,198,10000
"2021-05-07 00:00:00",763,177292,97,46000,217,10000
"2021-05-08 00:00:00",836,177292,107,46000,238,10000
"2021-05-09 00:00:00",916,177292,117,46000,260,10000
"2021-05-10 00:00:00",1004,177292,128,46000,285,10000
"2021-05-11 00:00:00",1100,177292,140,46000,313,10000
"2021-05-12 00:00:00",1205,177292,154,46000,343,10000
"2021-05-13 00:00:00",1321,177292,169,46000,375,10000
"2021-05-14 00:00:00",1447,177292,185,46000,411,10000
"2021-05-15 00:00:00",1586,177292,202,46000,451,10000
"2021-05-16 00:00:00",1738,177292,222,46000,494,10000
"2021-05-17 00:00:00",1904,177292,243,46000,541,10000
"2021-05-18 00:00:00",2086,177292,266,46000,593,10000
"2021-05-19 00:00:00",2285,177292,292,46000,649,10000
"2021-05-20 00:00:00",2503,177292,320,46000,711,10000
"2021-05-21 00:00:00",2742,177292,350,46000,779,10000
"2021-05-22 00:00:00",3004,177292,384,46000,854,10000
"2021-05-23 00:00:00",3291,177292,420,46000,935,10000
"2021-05-24 00:00:00",3604,177292,460,46000,1024,10000
"2021-05-25 00:00:00",3947,177292,504,46000,1122,10000
"2021-05-26 00:00:00",4323,177292,552,46000,1229,10000
"2021-05-27 00:00:00",4734,177292,605,46000,1345,10000
"2021-05-28 00:00:00",5183,177292,662,46000,1473,10000
"2021-05-29 00:00:00",5674,177292,725,46000,1613,10000
"2021-05-30 00:00:00",6211,177292,793,46000,1766,10000
"2021-05-31 00:00:00",6799,177292,869,46000,1933,10000
"2021-06-01 00:00:00",7440,177292,951,46000,2116,10000
"2021-06-02 00:00:00",8141,177292,1040,46000,2315,10000
"2021-06-03 00:00:00",8906,177292,1138,46000,2533,10000
"2021-06-04 00:00:00",9741,177292,1245,46000,2771,10000
"2021-06-05 00:00:00",10652,177292,1362,46000,3031,10000
"2021-06-06 00:00:00",11646,177292,1490,46000,3314,10000
"2021-06-07 00:00:00",12729,177292,1629,46000,3623,10000
"2021-06-08 00:00:00",13909,177292,1780,46000,3959,10000
"2021-06-09 00:00:00",15194,177292,1946,46000,4326,10000
"2021-06-10 00:00:00",16592,177292,2126,46000,4725,10000
"2021-06-11 00:00:00",18112,177292,2322,46000,5159,10000
"2021-06-12 00:00:00",19763,177292,2535,46000,5630,10000
"2021-06-13 00:00:00",21556,177292,2768,46000,6142,10000
"2021-06-14 00:00:00",23500,177292,3021,46000,6697,10000
"2021-06-15 00:00:00",25606,177292,3296,46000,7298,10000
"2021-06-16 00:00:00",27886,177292,3595,46000,7948,10000
"2021-06-17 00:00:00",30351,177292,3920,46000,8649,10000
"2021-06-18 00:00:00",33012,177292,4273,46000,9406,10000
"2021-06-19 00:00:00",35881,177292,4854,46000,10023,10000
"2021-06-20 00:00:00",38970,177292,6083,46000,10086,10000
"2021-06-21 00:00:00",42290,177292,7448,46000,10112,10000
"2021-06-22 00:00:00",45852,177292,8923,46000,10131,10000
"2021-06-23 00:00:00",49666,177292,10511,46000,10145,10000
"2021-06-24 00:00:00",53742,177292,12215,46000,10157,10000
"2021-06-25 00:00:00",58088,177292,14039,46000,10167,10000
"2021-06-26 00:00:00",62711,177292,15984,46000,10175,10000
"2021-06-27 00:00:00",67616,177292,18055,46000,10182,10000
"2021-06-28 00:00:00",72806,177292,20251,46000,10189,10000
"2021-06-29 00:00:00",78281,177292,22576,46000,10195,10000
"2021-06-30 00:00:00",84037,177292,25027,46000,10200,10000
"2021-07-01 00:00:00",90070,177292,27603,46000,10206,10000
"2021-07-02 00:00:00",96368,177292,30300,46000,10210,10000
"2021-07-03 00:00:00",102919,177292,33115,46000,10215,10000
"2021-07-04 00:00:00",109703,177292,36038,46000,10219,10000
"2021-07-05 00:00:00",116698,177292,39061,46000,10224,10000
"2021-07-06 00:00:00",123876,177292,42173,46000,10228,10000
"2021-07-07 00:00:00",131334,177292,45233,46000,10232,10000
"2021-07-08 00:00:00",141347,177292,45910,46000,10229,10000
"2021-07-09 00:00:00",152030,177292,46010,46000,10233,10000
"2021-07-10 00:00:00",162772,177292,46077,46000,10238,10000
"2021-07-11 00:00:00",173480,177292,46128,46000,10244,10000
"2021-07-12 00:00:00",177410,177292,46163,46000,10259,10000
"2021-07-13 00:00:00",177650,177292,46170,46000,10295,10000
"2021-07-14 00:00:00",177779,177292,46154,46000,10348,10000
"2021-07-15 00:00:00",177887,177292,46119,46000,10415,10000
"2021-07-16 00:00:00",177977,177292,46071,46000,10491,10000
"2021-07-17 00:00:00",178050,177292,46013,46000,10573,10000
"2021-07-18 00:00:00",178105,177292,45948,46000,10658,10000
"2021-07-19 00:00:00",178145,177292,45879,46000,10743,10000
"2021-07-20 00:00:00",178167,177292,45808,46000,10828,10000
"2021-07-21 00:00:00",178174,177292,45737,46000,10910,10000
"2021-07-22 00:00:00",178164,177292,45667,46000,10989,10000
"2021-07-23 00:00:00",178138,177292,45599,46000,11063,10000
"2021-07-24 00:00:00",178097,177292,45533,46000,11133,10000
"2021-07-25 00:00:00",178039,177292,45470,46000,11197,10000
"2021-07-26 00:00:00",177966,177292,45411,46000,11255,10000
"2021-07-27 00:00:00",177876,177292,45356,46000,11308,10000
"2021-07-28 00:00:00",177770,177292,45304,46000,11355,10000
"2021-07-29 00:00:00",177648,177292,45256,46000,11397,10000
"2021-07-30 00:00:00",177509,177292,45211,46000,11432,10000
"2021-07-31 00:00:00",177352,177292,45170,46000,11462,10000
"2021-08-01 00:00:00",177176,177292,45132,46000,11487,10000
"2021-08-02 00:00:00",176980,177292,45097,46000,11506,10000
"2021-08-03 00:00:00",176762,177292,45065,46000,11520,10000
"2021-08-04 00:00:00",176520,177292,45035,46000,11528,10000
"2021-08-05 00:00:00",176250,177292,45008,46000,11532,10000
"2021-08-06 00:00:00",175948,177292,44981,46000,11532,10000
"2021-08-07 00:00:00",175607,177292,44956,46000,11526,10000
"2021-08-08 00:00:00",175217,177292,44931,46000,11517,10000
"2021-08-09 00:00:00",174759,177292,44906,46000,11503,10000
"2021-08-10 00:00:00",174201,177292,44880,46000,11486,10000
"2021-08-11 00:00:00",173469,177292,44852,46000,11464,10000
"2021-08-12 00:00:00",172342,177292,44821,46000,11439,10000
"2021-08-13 00:00:00",170551,177292,44786,46000,11410,10000
"2021-08-14 00:00:00",168142,177292,44745,46000,11378,10000
"2021-08-15 00:00:00",165195,177292,44697,46000,11343,10000
"2021-08-16 00:00:00",161781,177292,44638,46000,11304,10000
"2021-08-17 00:00:00",157970,177292,44566,46000,11263,10000
"2021-08-18 00:00:00",153824,177292,44479,46000,11219,10000
"2021-08-19 00:00:00",149403,177292,44370,46000,11173,10000
"2021-08-20 00:00:00",144764,177292,44232,46000,11124,10000
"2021-08-21 00:00:00",139964,177292,44056,46000,11072,10000
"2021-08-22 00:00:00",135068,177292,43819,46000,11018,10000
"2021-08-23 00:00:00",130168,177292,43466,46000,10960,10000
"2021-08-24 00:00:00",125347,177292,42950,46000,10898,10000
"2021-08-25 00:00:00",120600,177292,42306,46000,10832,10000
"2021-08-26 00:00:00",115922,177292,41567,46000,10762,10000
"2021-08-27 00:00:00",111318,177292,40753,46000,10689,10000
"2021-08-28 00:00:00",106792,177292,39881,46000,10614,10000
"2021-08-29 00:00:00",102354,177292,38962,46000,10535,10000
"2021-08-30 00:00:00",98010,177292,38006,46000,10454,10000
"2021-08-31 00:00:00",93767,177292,37022,46000,10370,10000
"2021-09-01 00:00:00",89632,177292,36015,46000,10284,10000
"2021-09-02 00:00:00",85595,177292,34975,46000,10227,10000
"2021-09-03 00:00:00",81648,177292,33895,46000,10225,10000
"2021-09-04 00:00:00",77822,177292,32806,46000,10222,10000
"2021-09-05 00:00:00",74118,177292,31713,46000,10219,10000
"2021-09-06 00:00:00",70538,177292,30620,46000,10217,10000
"2021-09-07 00:00:00",67083,177292,29530,46000,10214,10000
"2021-09-08 00:00:00",63754,177292,28446,46000,10211,10000
"2021-09-09 00:00:00",60549,177292,27371,46000,10209,10000
"2021-09-10 00:00:00",57467,177292,26306,46000,10206,10000
"2021-09-11 00:00:00",54508,177292,25255,46000,10203,10000
"2021-09-12 00:00:00",51670,177292,24218,46000,10200,10000
"2021-09-13 00:00:00",48950,177292,23197,46000,10197,10000
"2021-09-14 00:00:00",46346,177292,22194,46000,10194,10000
"2021-09-15 00:00:00",43855,177292,21209,46000,10191,10000
"2021-09-16 00:00:00",41475,177292,20244,46000,10187,10000
"2021-09-17 00:00:00",39202,177292,19299,46000,10184,10000
"2021-09-18 00:00:00",37033,177292,18375,46000,10180,10000
"2021-09-19 00:00:00",34966,177292,17473,46000,10176,10000
"2021-09-20 00:00:00",32996,177292,16593,46000,10172,10000
"2021-09-21 00:00:00",31120,177292,15734,46000,10167,10000
"2021-09-22 00:00:00",29336,177292,14898,46000,10162,10000
"2021-09-23 00:00:00",27640,177292,14085,46000,10157,10000
"2021-09-24 00:00:00",26028,177292,13293,46000,10151,10000
"2021-09-25 00:00:00",24497,177292,12524,46000,10144,10000
"2021-09-26 00:00:00",23044,177292,11777,46000,10137,10000
"2021-09-27 00:00:00",21667,177292,11053,46000,10129,10000
"2021-09-28 00:00:00",20361,177292,10350,46000,10120,10000
"2021-09-29 00:00:00",19125,177292,9669,46000,10109,10000
"2021-09-30 00:00:00",17955,177292,9009,46000,10096,10000
"2021-10-01 00:00:00",16849,177292,8371,46000,10081,10000
"2021-10-02 00:00:00",15805,177292,7755,46000,10063,10000
"2021-10-03 00:00:00",14819,177292,7161,46000,10039,10000
"2021-10-04 00:00:00",13892,177292,6590,46000,10008,10000
"2021-10-05 00:00:00",13020,177292,6046,46000,9965,10000
"2021-10-06 00:00:00",12206,177292,5535,46000,9898,10000
"2021-10-07 00:00:00",11452,177292,5074,46000,9787,10000
"2021-10-08 00:00:00",10764,177292,4701,46000,9584,10000
"2021-10-09 00:00:00",10136,177292,4408,46000,9299,10000
"2021-10-10 00:00:00",9555,177292,4166,46000,8974,10000
"2021-10-11 00:00:00",9013,177292,3957,46000,8631,10000
"2021-10-12 00:00:00",8505,177292,3769,46000,8284,10000
"2021-10-13 00:00:00",8027,177292,3596,46000,7942,10000
"2021-10-14 00:00:00",7578,177292,3435,46000,7608,10000
