"DateTime","Hospital Surge Beds","Max Hospital Beds","ICU Beds","Max ICU Beds","Ventilators","Max Ventilators"
"2021-03-01 00:00:00",0,177292,0,46000,0,10000
"2021-03-02 00:00:00",0,177292,0,46000,0,10000
"2021-03-03 00:00:00",0,177292,0,46000,0,10000
"2021-03-04 00:00:00",1,177292,0,46000,0,10000
"2021-03-05 00:00:00",1,177292,0,46000,0,10000
"2021-03-06 00:00:00",1,177292,0,46000,0,10000
"2021-03-07 00:00:00",2,177292,0,46000,0,10000
"2021-03-08 00:00:00",2,177292,0,46000,1,10000
"2021-03-09 00:00:00",3,177292,0,46000,1,10000
"2021-03-10 00:00:00",3,177292,0,46000,1,10000
"2021-03-11 00:00:00",4,177292,0,46000,1,10000
"2021-03-12 00:00:00",4,177292,0,46000,1,10000
"2021-03-13 00:00:00",5,177292,1,46000,1,10000
"2021-03-14 00:00:00",5,177292,1,46000,1,10000
"2021-03-15 00:00:00",6,177292,1,46000,2,10000
"2021-03-16 00:00:00",7,177292,1,46000,2,10000
"2021-03-17 00:00:00",7,177292,1,46000,2,10000
"2021-03-18 00:00:00",8,177292,1,46000,2,10000
"2021-03-19 00:00:00",9,177292,1,46000,2,10000
"2021-03-20 00:00:00",10,177292,1,46000,3,10000
"2021-03-21 00:00:00",11,177292,1,46000,3,10000
"2021-03-22 00:00:00",12,177292,1,46000,3,10000
"2021-03-23 00:00:00",13,177292,2,46000,4,10000
"2021-03-24 00:00:00",15,177292,2,46000,4,10000
"2021-03-25 00:00:00",16,177292,2,46000,4,10000
"2021-03-26 00:00:00",17,177292,2,46000,5,10000
"2021-03-27 00:00:00",19,177292,2,46000,5,10000
"2021-03-28 00:00:00",21,177292,3,46000,6,10000
"2021-03-29 00:00:00",23,177292,3,46000,6,10000
"2021-03-30 00:00:00",25,177292,3,46000,7,10000
"2021-03-31 00:00:00",27,177292,3,46000,8,10000
"2021-04-01 00:00:00",30,177292,4,46000,8,10000
"2021-04-02 00:00:00",32,177292,4,46000,9,10000
"2021-04-03 00:00:00",35,177292,5,46000,10,10000
"2021-04-04 00:00:00",39,177292,5,46000,11,10000
"2021-04-05 00:00:00",42,177292,5,46000,12,10000
"2021-04-06 00:00:00",46,177292,6,46000,13,10000
"2021-04-07 00:00:00",50,177292,6,46000,14,10000
"2021-04-08 00:00:00",55,177292,7,46000,16,10000
"2021-04-09 00:00:00",60,177292,8,46000,17,10000
"2021-04-10 00:00:00",66,177292,8,46000,19,10000
"2021-04-11 00:00:00",72,177292,9,46000,21,10000
"2021-04-12 00:00:00",79,177292,10,46000,22,10000
"2021-04-13 00:00:00",86,177292,11,46000,25,10000
"2021-04-14 00:00:00",94,177292,12,46000,27,10000
"2021-04-15 00:00:00",103,177292,13,46000,29,10000
"2021-04-16 00:00:00",113,177292,14,46000,32,10000
"2021-04-17 00:00:00",124,177292,16,46000,35,10000
"2021-04-18 00:00:00",136,177292,17,46000,39,10000
"2021-04-19 00:00:00",148,177292,19,46000,42,10000
"2021-04-20 00:00:00",162,177292,21,46000,46,10000
"2021-04-21 00:00:00",178,177292,23,46000,51,10000
"2021-04-22 00:00:00",195,177292,25,46000,55,10000
"2021-04-23 00:00:00",213,177292,27,46000,61,10000
"2021-04-24 00:00:00",234,177292,30,46000,66,10000
"2021-04-25 00:00:00",256,177292,33,46000,73,10000
"2021-04-26 00:00:00",280,177292,36,46000,80,10000
"2021-04-27 00:00:00",307,177292,39,46000,87,10000
"2021-04-28 00:00:00",336,177292,43,46000,96,10000
"2021-04-29 00:00:00",369,177292,47,46000,105,10000
"2021-04-30 00:00:00",404,177292,52,46000,115,10000
"2021-05-01 00:00:00",442,177292,57,46000,126,10000
"2021-05-02 00:00:00",485,177292,62,46000,138,10000
"2021-05-03 00:00:00",531,177292,68,46000,151,10000
"2021-05-04 00:00:00",582,177292,74,46000,165,10000
"2021-05-05 00:00:00",638,177292,81,46000,181,10000
"2021-05-06 00:00:00",699,177292,89,46000,199,10000
"2021-05-07 00:00:00",766,177292,98,46000,218,10000
"2021-05-08 00:00:00",839,177292,107,46000,238,10000
"2021-05-09 00:00:00",920,177292,117,46000,261,10000
"2021-05-10 00:00:00",1008,177292,129,46000,286,10000
"2021-05-11 00:00:00",1104,177292,141,46000,314,10000
"2021-05-12 00:00:00",1210,177292,154,46000,344,10000
"2021-05-13 00:00:00",1326,177292,169,46000,377,10000
"2021-05-14 00:00:00",1453,177292,186,46000,413,10000
"2021-05-15 00:00:00",1593,177292,203,46000,452,10000
"2021-05-16 00:00:00",1745,177292,223,46000,496,10000
"2021-05-17 00:00:00",1912,177292,244,46000,543,10000
"2021-05-18 00:00:00",2095,177292,267,46000,595,10000
"2021-05-19 00:00:00",2296,177292,293,46000,652,10000
"2021-05-20 00:00:00",2515,177292,321,46000,715,10000
"2021-05-21 00:00:00",2756,177292,352,46000,783,10000
"2021-05-22 00:00:00",3019,177292,385,46000,858,10000
"2021-05-23 00:00:00",3307,177292,422,46000,940,10000
"2021-05-24 00:00:00",3623,177292,463,46000,1029,10000
"2021-05-25 00:00:00",3968,177292,507,46000,1128,10000
"2021-05-26 00:00:00",4346,177292,555,46000,1235,10000
"2021-05-27 00:00:00",4760,177292,608,46000,1353,10000
"2021-05-28 00:00:00",5212,177292,666,46000,1481,10000
"2021-05-29 00:00:00",5706,177292,729,46000,1622,10000
"2021-05-30 00:00:00",6247,177292,798,46000,1776,10000
"2021-05-31 00:00:00",6838,177292,874,46000,1944,10000
"2021-06-01 00:00:00",7484,177292,956,46000,2128,10000
"2021-06-02 00:00:00",8190,177292,1047,46000,2329,10000
"2021-06-03 00:00:00",8961,177292,1145,46000,2548,10000
"2021-06-04 00:00:00",9802,177292,1253,46000,2788,10000
"2021-06-05 00:00:00",10720,177292,1371,46000,3050,10000
"2021-06-06 00:00:00",11721,177292,1499,46000,3335,10000
"2021-06-07 00:00:00",12813,177292,1639,46000,3646,10000
"2021-06-08 00:00:00",14002,177292,1792,46000,3985,10000
"2021-06-09 00:00:00",15297,177292,1959,46000,4355,10000
"2021-06-10 00:00:00",16706,177292,2140,46000,4757,10000
"2021-06-11 00:00:00",18238,177292,2338,46000,5194,10000
"2021-06-12 00:00:00",19903,177292,2553,46000,5669,10000
"2021-06-13 00:00:00",21711,177292,2788,46000,6185,10000
"2021-06-14 00:00:00",23672,177292,3043,46000,6744,10000
"2021-06-15 00:00:00",25797,177292,3320,46000,7350,10000
"2021-06-16 00:00:00",28096,177292,3621,46000,8006,10000
"2021-06-17 00:00:00",30583,177292,3949,46000,8714,10000
"2021-06-18 00:00:00",33268,177292,4306,46000,9477,10000
"2021-06-19 00:00:00",36163,177292,4956,46000,10036,10000
"2021-06-20 00:00:00",39280,177292,6207,46000,10089,10000
"2021-06-21 00:00:00",42631,177292,7584,46000,10114,10000
"2021-06-22 00:00:00",46226,177292,9074,46000,10132,10000
"2021-06-23 00:00:00",50077,177292,10677,46000,10147,10000
"2021-06-24 00:00:00",54193,177292,12398,46000,10158,10000
"2021-06-25 00:00:00",58582,177292,14239,46000,10168,10000
"2021-06-26 00:00:00",63252,177292,16204,46000,10176,10000
"2021-06-27 00:00:00",68207,177292,18295,46000,10183,10000
"2021-06-28 00:00:00",73451,177292,20514,46000,10190,10000
"2021-06-29 00:00:00",78983,177292,22862,46000,10196,10000
"2021-06-30 00:00:00",84802,177292,25339,46000,10201,10000
"2021-07-01 00:00:00",90900,177292,27942,46000,10206,10000
"2021-07-02 00:00:00",97269,177292,30668,46000,10211,10000
"2021-07-03 00:00:00",103893,177292,33512,46000,10216,10000
"2021-07-04 00:00:00",110756,177292,36467,46000,10220,10000
"2021-07-05 00:00:00",117834,177292,39524,46000,10225,10000
"2021-07-06 00:00:00",125098,177292,42670,46000,10229,10000
"2021-07-07 00:00:00",132906,177292,45507,46000,10230,10000
"2021-07-08 00:00:00",143293,177292,45937,46000,10230,10000
"2021-07-09 00:00:00",154115,177292,46027,46000,10234,10000
"2021-07-10 00:00:00",164991,177292,46091,46000,10239,10000
"2021-07-11 00:00:00",175479,177292,46141,46000,10246,10000
"2021-07-12 00:00:00",177532,177292,46171,46000,10265,10000
"2021-07-13 00:00:00",177717,177292,46173,46000,10305,10000
"2021-07-14 00:00:00",177845,177292,46152,46000,10363,10000
"2021-07-15 00:00:00",177954,177292,46114,46000,10433,10000
"2021-07-16 00:00:00",178045,177292,46062,46000,10511,10000
"2021-07-17 00:00:00",178118,177292,46002,46000,10595,10000
"2021-07-18 00:00:00",178175,177292,45935,46000,10682,10000
"2021-07-19 00:00:00",178216,177292,45864,46000,10769,10000
"2021-07-20 00:00:00",178240,177292,45792,46000,10855,10000
"2021-07-21 00:00:00",178248,177292,45720,46000,10938,10000
"2021-07-22 00:00:00",178240,177292,45649,46000,11018,10000
"2021-07-23 00:00:00",178217,177292,45580,46000,11093,10000
"2021-07-24 00:00:00",178177,177292,45514,46000,11163,10000
"2021-07-25 00:00:00",178122,177292,45451,46000,11228,10000
"2021-07-26 00:00:00",178051,177292,45392,46000,11287,10000
"2021-07-27 00:00:00",177964,177292,45336,46000,11340,10000
"2021-07-28 00:00:00",177862,177292,45284,46000,11388,10000
"2021-07-29 00:00:00",177743,177292,45236,46000,11429,10000
"2021-07-30 00:00:00",177607,177292,45191,46000,11465,10000
"2021-07-31 00:00:00",177455,177292,45151,46000,11496,10000
"2021-08-01 00:00:00",177284,177292,45113,46000,11520,10000
"2021-08-02 00:00:00",177093,177292,45078,46000,11540,10000
"2021-08-03 00:00:00",176882,177292,45047,46000,11554,10000
"2021-08-04 00:00:00",176648,177292,45018,46000,11563,10000
"2021-08-05 00:00:00",176388,177292,44990,46000,11568,10000
"2021-08-06 00:00:00",176098,177292,44965,46000,11567,10000
"2021-08-07 00:00:00",175772,177292,44941,46000,11563,10000
"2021-08-08 00:00:00",175402,177292,44917,46000,11553,10000
"2021-08-09 00:00:00",174973,177292,44894,46000,11540,10000
"2021-08-10 00:00:00",174461,177292,44869,46000,11523,10000
"2021-08-11 00:00:00",173814,177292,44844,46000,11501,10000
"2021-08-12 00:00:00",172898,177292,44815,46000,11477,10000
"2021-08-13 00:00:00",171388,177292,44783,46000,11448,10000
"2021-08-14 00:00:00",169224,177292,44746,46000,11416,10000
"2021-08-15 00:00:00",166487,177292,44701,46000,11381,10000
"2021-08-16 00:00:00",163254,177292,44648,46000,11344,10000
"2021-08-17 00:00:00",159593,177292,44583,46000,11303,10000
"2021-08-18 00:00:00",155572,177292,44503,46000,11259,10000
"2021-08-19 00:00:00",151252,177292,44404,46000,11213,10000
"2021-08-20 00:00:00",146691,177292,44280,46000,11164,10000
"2021-08-21 00:00:00",141945,177292,44122,46000,11113,10000
"2021-08-22 00:00:00",137074,177292,43915,46000,11059,10000
"2021-08-23 00:00:00",132155,177292,43621,46000,11002,10000
"2021-08-24 00:00:00",127295,177292,43171,46000,10941,10000
"2021-08-25 00:00:00",122516,177292,42575,46000,10876,10000
"2021-08-26 00:00:00",117808,177292,41871,46000,10808,10000
"2021-08-27 00:00:00",113171,177292,41085,46000,10736,10000
"2021-08-28 00:00:00",108612,177292,40235,46000,10661,10000
"2021-08-29 00:00:00",104137,177292,39333,46000,10583,10000
"2021-08-30 00:00:00",99753,177292,38391,46000,10502,10000
"2021-08-31 00:00:00",95469,177292,37417,46000,10419,10000
"2021-09-01 00:00:00",91289,177292,36419,46000,10334,10000
"2021-09-02 00:00:00",87221,177292,35402,46000,10246,10000
"2021-09-03 00:00:00",83234,177292,34336,46000,10226,10000
"2021-09-04 00:00:00",79359,177292,33251,46000,10223,10000
"2021-09-05 00:00:00",75605,177292,32160,46000,10221,10000
"2021-09-06 00:00:00",71974,177292,31068,46000,10218,10000
"2021-09-07 00:00:00",68469,177292,29977,46000,10215,10000
"2021-09-08 00:00:00",65088,177292,28892,46000,10213,10000
"2021-09-09 00:00:00",61833,177292,27814,46000,10210,10000
"2021-09-10 00:00:00",58701,177292,26746,46000,10207,10000
"2021-09-11 00:00:00",55693,177292,25690,46000,10204,10000
"2021-09-12 00:00:00",52806,177292,24648,46000,10202,10000
"2021-09-13 00:00:00",50038,177292,23622,46000,10199,10000
"2021-09-14 00:00:00",47388,177292,22613,46000,10195,10000
"2021-09-15 00:00:00",44851,177292,21622,46000,10192,10000
"2021-09-16 00:00:00",42426,177292,20650,46000,10189,10000
"2021-09-17 00:00:00",40110,177292,19698,46000,10185,10000
"2021-09-18 00:00:00",37899,177292,18767,46000,10182,10000
"2021-09-19 00:00:00",35791,177292,17857,46000,10178,10000
"2021-09-20 00:00:00",33782,177292,16969,46000,10174,10000
"2021-09-21 00:00:00",31868,177292,16103,46000,10169,10000
"2021-09-22 00:00:00",30047,177292,15259,46000,10164,10000
"2021-09-23 00:00:00",28315,177292,14438,46000,10159,10000
"2021-09-24 00:00:00",26668,177292,13638,46000,10154,10000
"2021-09-25 00:00:00",25105,177292,12861,46000,10147,10000
"2021-09-26 00:00:00",23621,177292,12106,46000,10140,10000
"2021-09-27 00:00:00",22213,177292,11373,46000,10133,10000
"2021-09-28 00:00:00",20878,177292,10662,46000,10124,10000
"2021-09-29 00:00:00",19613,177292,9973,46000,10114,10000
"2021-09-30 00:00:00",18416,177292,9306,46000,10103,10000
"2021-10-01 00:00:00",17284,177292,8659,46000,10089,10000
"2021-10-02 00:00:00",16214,177292,8035,46000,10072,10000
"2021-10-03 00:00:00",15204,177292,7432,46000,10051,10000
"2021-10-04 00:00:00",14253,177292,6852,46000,10024,10000
"2021-10-05 00:00:00",13358,177292,6296,46000,9987,10000
"2021-10-06 00:00:00",12520,177292,5770,46000,9934,10000
"2021-10-07 00:00:00",11739,177292,5283,46000,9848,10000
"2021-10-08 00:00:00",11022,177292,4864,46000,9694,10000
"2021-10-09 00:00:00",10371,177292,4539,46000,9441,10000
"2021-10-10 00:00:00",9773,177292,4276,46000,9131,10000
"2021-10-11 00:00:00",9216,177292,4053,46000,8795,10000
"2021-10-12 00:00:00",8696,177292,3855,46000,8449,10000
"2021-10-13 00:00:00",8208,177292,3676,46000,8103,10000
"2021-10-14 00:00:00",7748,177292,3510,46000,7765,10000
