"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)"
"2021-03-01 00:00:00",83,0,0,0
"2021-03-02 00:00:00",84,0,0,0
"2021-03-03 00:00:00",84,0,0,0
"2021-03-04 00:00:00",85,0,0,0
"2021-03-05 00:00:00",85,0,0,0
"2021-03-06 00:00:00",85,0,0,0
"2021-03-07 00:00:00",85,0,0,0
"2021-03-08 00:00:00",85,0,0,0
"2021-03-09 00:00:00",85,0,0,0
"2021-03-10 00:00:00",85,0,0,0
"2021-03-11 00:00:00",85,0,0,0
"2021-03-12 00:00:00",85,0,0,0
"2021-03-13 00:00:00",86,0,0,0
"2021-03-14 00:00:00",86,0,0,0
"2021-03-15 00:00:00",87,1,1,1
"2021-03-16 00:00:00",87,1,1,1
"2021-03-17 00:00:00",88,1,1,1
"2021-03-18 00:00:00",89,1,1,1
"2021-03-19 00:00:00",90,1,1,1
"2021-03-20 00:00:00",90,1,1,1
"2021-03-21 00:00:00",90,1,1,1
"2021-03-22 00:00:00",91,2,2,2
"2021-03-23 00:00:00",92,2,2,2
"2021-03-24 00:00:00",92,2,2,2
"2021-03-25 00:00:00",92,2,2,2
"2021-03-26 00:00:00",92,2,2,2
"2021-03-27 00:00:00",93,3,3,3
"2021-03-28 00:00:00",94,3,3,3
"2021-03-29 00:00:00",94,3,3,3
"2021-03-30 00:00:00",94,4,4,4
"2021-03-31 00:00:00",94,4,4,4
"2021-04-01 00:00:00",94,4,4,4
"2021-04-02 00:00:00",94,5,5,5
"2021-04-03 00:00:00",95,5,5,5
"2021-04-04 00:00:00",95,6,6,6
"2021-04-05 00:00:00",95,6,6,6
"2021-04-06 00:00:00",95,7,7,7
"2021-04-07 00:00:00",95,7,7,7
"2021-04-08 00:00:00",95,8,8,8
"2021-04-09 00:00:00",96,9,9,9
"2021-04-10 00:00:00",97,9,9,9
"2021-04-11 00:00:00",97,10,10,10
"2021-04-12 00:00:00",97,11,11,11
"2021-04-13 00:00:00",97,12,12,12
"2021-04-14 00:00:00",97,13,13,13
"2021-04-15 00:00:00",97,14,14,14
"2021-04-16 00:00:00",97,15,15,15
"2021-04-17 00:00:00",99,17,17,17
"2021-04-18 00:00:00",101,18,18,18
"2021-04-19 00:00:00",104,20,20,20
"2021-04-20 00:00:00",108,21,21,21
"2021-04-21 00:00:00",110,23,23,23
"2021-04-22 00:00:00",117,25,25,25
"2021-04-23 00:00:00",121,27,27,27
"2021-04-24 00:00:00",129,29,29,29
"2021-04-25 00:00:00",140,32,32,32
"2021-04-26 00:00:00",148,35,35,35
"2021-04-27 00:00:00",163,38,38,38
"2021-04-28 00:00:00",178,41,41,41
"2021-04-29 00:00:00",188,45,45,45
"2021-04-30 00:00:00",203,48,48,48
"2021-05-01 00:00:00",224,53,53,53
"2021-05-02 00:00:00",245,57,57,57
"2021-05-03 00:00:00",276,62,62,62
"2021-05-04 00:00:00",303,68,68,68
"2021-05-05 00:00:00",318,74,74,74
"2021-05-06 00:00:00",336,80,80,80
"2021-05-07 00:00:00",363,87,87,87
"2021-05-08 00:00:00",382,95,95,95
"2021-05-09 00:00:00",399,103,103,103
"2021-05-10 00:00:00",421,112,112,112
"2021-05-11 00:00:00",452,122,122,122
"2021-05-12 00:00:00",486,133,133,133
"2021-05-13 00:00:00",518,144,144,144
"2021-05-14 00:00:00",548,157,157,157
"2021-05-15 00:00:00",565,171,171,171
"2021-05-16 00:00:00",589,186,186,186
"2021-05-17 00:00:00",614,202,202,202
"2021-05-18 00:00:00",649,220,220,220
"2021-05-19 00:00:00",678,239,239,239
"2021-05-20 00:00:00",703,261,261,261
"2021-05-21 00:00:00",735,284,284,284
"2021-05-22 00:00:00",759,309,309,309
"2021-05-23 00:00:00",776,336,336,336
"2021-05-24 00:00:00",806,366,366,366
"2021-05-25 00:00:00",832,398,398,398
"2021-05-26 00:00:00",873,433,433,433
"2021-05-27 00:00:00",920,471,471,471
"2021-05-28 00:00:00",954,513,513,513
"2021-05-29 00:00:00",988,558,558,558
"2021-05-30 00:00:00",1012,607,607,607
"2021-05-31 00:00:00",1031,661,661,661
"2021-06-01 00:00:00",1069,719,719,719
"2021-06-02 00:00:00",1107,783,783,783
"2021-06-03 00:00:00",1146,852,852,852
"2021-06-04 00:00:00",1177,926,926,926
"2021-06-05 00:00:00",1213,1008,1008,1008
"2021-06-06 00:00:00",1236,1096,1096,1096
