"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)"
"2021-03-01 00:00:00",83,0,0,0
"2021-03-02 00:00:00",84,0,0,0
"2021-03-03 00:00:00",84,0,0,0
"2021-03-04 00:00:00",85,0,0,0
"2021-03-05 00:00:00",85,0,0,0
"2021-03-06 00:00:00",85,0,0,0
"2021-03-07 00:00:00",85,0,0,0
"2021-03-08 00:00:00",85,0,0,0
"2021-03-09 00:00:00",85,0,0,0
"2021-03-10 00:00:00",85,0,0,0
"2021-03-11 00:00:00",85,0,0,0
"2021-03-12 00:00:00",85,0,0,0
"2021-03-13 00:00:00",86,0,0,0
"2021-03-14 00:00:00",86,0,0,0
"2021-03-15 00:00:00",87,1,1,1
"2021-03-16 00:00:00",87,1,1,1
"2021-03-17 00:00:00",88,1,1,1
"2021-03-18 00:00:00",89,1,1,1
"2021-03-19 00:00:00",90,1,1,1
"2021-03-20 00:00:00",90,1,1,1
"2021-03-21 00:00:00",90,1,1,1
"2021-03-22 00:00:00",91,2,2,2
"2021-03-23 00:00:00",92,2,2,2
"2021-03-24 00:00:00",92,2,2,2
"2021-03-25 00:00:00",92,2,2,2
"2021-03-26 00:00:00",92,2,2,2
"2021-03-27 00:00:00",93,3,3,3
"2021-03-28 00:00:00",94,3,3,3
"2021-03-29 00:00:00",94,3,3,3
"2021-03-30 00:00:00",94,4,4,4
"2021-03-31 00:00:00",94,4,4,4
"2021-04-01 00:00:00",94,4,4,4
"2021-04-02 00:00:00",94,5,5,5
"2021-04-03 00:00:00",95,5,5,5
"2021-04-04 00:00:00",95,6,6,6
"2021-04-05 00:00:00",95,6,6,6
"2021-04-06 00:00:00",95,7,7,7
"2021-04-07 00:00:00",95,7,7,7
"2021-04-08 00:00:00",95,8,8,8
"2021-04-09 00:00:00",96,9,9,9
"2021-04-10 00:00:00",97,9,9,9
"2021-04-11 00:00:00",97,10,10,10
"2021-04-12 00:00:00",97,11,11,11
"2021-04-13 00:00:00",97,12,12,12
"2021-04-14 00:00:00",97,13,13,13
"2021-04-15 00:00:00",97,14,14,14
"2021-04-16 00:00:00",97,15,15,15
"2021-04-17 00:00:00",99,17,17,17
"2021-04-18 00:00:00",101,18,18,18
"2021-04-19 00:00:00",104,19,19,19
"2021-04-20 00:00:00",108,21,21,21
"2021-04-21 00:00:00",110,23,23,23
"2021-04-22 00:00:00",117,25,25,25
"2021-04-23 00:00:00",121,27,27,27
"2021-04-24 00:00:00",129,29,29,29
"2021-04-25 00:00:00",140,32,32,32
"2021-04-26 00:00:00",148,35,35,35
"2021-04-27 00:00:00",163,38,38,38
"2021-04-28 00:00:00",178,41,41,41
"2021-04-29 00:00:00",188,44,44,44
"2021-04-30 00:00:00",203,48,48,48
"2021-05-01 00:00:00",224,52,52,52
"2021-05-02 00:00:00",245,57,57,57
"2021-05-03 00:00:00",276,62,62,62
"2021-05-04 00:00:00",303,67,67,67
"2021-05-05 00:00:00",318,73,73,73
"2021-05-06 00:00:00",336,79,79,79
"2021-05-07 00:00:00",363,86,86,86
"2021-05-08 00:00:00",382,94,94,94
"2021-05-09 00:00:00",399,102,102,102
"2021-05-10 00:00:00",421,111,111,111
"2021-05-11 00:00:00",452,121,121,121
"2021-05-12 00:00:00",486,131,131,131
"2021-05-13 00:00:00",518,143,143,143
"2021-05-14 00:00:00",548,156,156,156
"2021-05-15 00:00:00",565,169,169,169
"2021-05-16 00:00:00",589,184,184,184
"2021-05-17 00:00:00",614,201,201,201
"2021-05-18 00:00:00",649,218,218,218
"2021-05-19 00:00:00",678,238,238,238
"2021-05-20 00:00:00",703,259,259,259
"2021-05-21 00:00:00",735,281,281,281
"2021-05-22 00:00:00",759,306,306,306
"2021-05-23 00:00:00",776,333,333,333
"2021-05-24 00:00:00",806,363,363,363
"2021-05-25 00:00:00",832,395,395,395
"2021-05-26 00:00:00",873,430,430,430
"2021-05-27 00:00:00",920,468,468,468
"2021-05-28 00:00:00",954,510,510,510
"2021-05-29 00:00:00",988,555,555,555
"2021-05-30 00:00:00",1012,604,604,604
"2021-05-31 00:00:00",1031,657,657,657
"2021-06-01 00:00:00",1069,716,716,716
"2021-06-02 00:00:00",1107,779,779,779
"2021-06-03 00:00:00",1146,848,848,848
"2021-06-04 00:00:00",1177,923,923,923
"2021-06-05 00:00:00",1213,1004,1004,1004
"2021-06-06 00:00:00",1236,1093,1093,1093
