"DateTime","Hospital Surge Beds","Max Hospital Beds","ICU Beds","Max ICU Beds","Ventilators","Max Ventilators"
"2021-03-01 00:00:00",0,177292,0,46000,0,10000
"2021-03-02 00:00:00",0,177292,0,46000,0,10000
"2021-03-03 00:00:00",0,177292,0,46000,0,10000
"2021-03-04 00:00:00",0,177292,0,46000,0,10000
"2021-03-05 00:00:00",1,177292,0,46000,0,10000
"2021-03-06 00:00:00",1,177292,0,46000,0,10000
"2021-03-07 00:00:00",1,177292,0,46000,0,10000
"2021-03-08 00:00:00",1,177292,0,46000,0,10000
"2021-03-09 00:00:00",2,177292,0,46000,0,10000
"2021-03-10 00:00:00",2,177292,0,46000,1,10000
"2021-03-11 00:00:00",2,177292,0,46000,1,10000
"2021-03-12 00:00:00",3,177292,0,46000,1,10000
"2021-03-13 00:00:00",3,177292,0,46000,1,10000
"2021-03-14 00:00:00",3,177292,0,46000,1,10000
"2021-03-15 00:00:00",4,177292,0,46000,1,10000
"2021-03-16 00:00:00",4,177292,0,46000,1,10000
"2021-03-17 00:00:00",4,177292,1,46000,1,10000
"2021-03-18 00:00:00",5,177292,1,46000,1,10000
"2021-03-19 00:00:00",5,177292,1,46000,1,10000
"2021-03-20 00:00:00",5,177292,1,46000,1,10000
"2021-03-21 00:00:00",6,177292,1,46000,2,10000
"2021-03-22 00:00:00",6,177292,1,46000,2,10000
"2021-03-23 00:00:00",6,177292,1,46000,2,10000
"2021-03-24 00:00:00",7,177292,1,46000,2,10000
"2021-03-25 00:00:00",7,177292,1,46000,2,10000
"2021-03-26 00:00:00",8,177292,1,46000,2,10000
"2021-03-27 00:00:00",8,177292,1,46000,2,10000
"2021-03-28 00:00:00",9,177292,1,46000,2,10000
"2021-03-29 00:00:00",9,177292,1,46000,3,10000
"2021-03-30 00:00:00",9,177292,1,46000,3,10000
"2021-03-31 00:00:00",10,177292,1,46000,3,10000
"2021-04-01 00:00:00",10,177292,1,46000,3,10000
"2021-04-02 00:00:00",11,177292,1,46000,3,10000
"2021-04-03 00:00:00",12,177292,2,46000,3,10000
"2021-04-04 00:00:00",12,177292,2,46000,4,10000
"2021-04-05 00:00:00",13,177292,2,46000,4,10000
"2021-04-06 00:00:00",13,177292,2,46000,4,10000
"2021-04-07 00:00:00",14,177292,2,46000,4,10000
"2021-04-08 00:00:00",15,177292,2,46000,4,10000
"2021-04-09 00:00:00",15,177292,2,46000,5,10000
"2021-04-10 00:00:00",16,177292,2,46000,5,10000
"2021-04-11 00:00:00",17,177292,2,46000,5,10000
"2021-04-12 00:00:00",18,177292,2,46000,5,10000
"2021-04-13 00:00:00",19,177292,3,46000,6,10000
"2021-04-14 00:00:00",19,177292,3,46000,6,10000
"2021-04-15 00:00:00",20,177292,3,46000,6,10000
"2021-04-16 00:00:00",21,177292,3,46000,7,10000
"2021-04-17 00:00:00",22,177292,3,46000,7,10000
"2021-04-18 00:00:00",23,177292,3,46000,7,10000
"2021-04-19 00:00:00",24,177292,3,46000,7,10000
"2021-04-20 00:00:00",26,177292,4,46000,8,10000
"2021-04-21 00:00:00",27,177292,4,46000,8,10000
"2021-04-22 00:00:00",28,177292,4,46000,9,10000
"2021-04-23 00:00:00",29,177292,4,46000,9,10000
"2021-04-24 00:00:00",31,177292,4,46000,9,10000
"2021-04-25 00:00:00",32,177292,4,46000,10,10000
"2021-04-26 00:00:00",34,177292,5,46000,10,10000
"2021-04-27 00:00:00",35,177292,5,46000,11,10000
"2021-04-28 00:00:00",37,177292,5,46000,11,10000
"2021-04-29 00:00:00",39,177292,5,46000,12,10000
"2021-04-30 00:00:00",41,177292,6,46000,13,10000
"2021-05-01 00:00:00",43,177292,6,46000,13,10000
"2021-05-02 00:00:00",45,177292,6,46000,14,10000
"2021-05-03 00:00:00",47,177292,6,46000,14,10000
"2021-05-04 00:00:00",49,177292,7,46000,15,10000
"2021-05-05 00:00:00",51,177292,7,46000,16,10000
"2021-05-06 00:00:00",54,177292,7,46000,17,10000
"2021-05-07 00:00:00",56,177292,8,46000,17,10000
"2021-05-08 00:00:00",59,177292,8,46000,18,10000
"2021-05-09 00:00:00",62,177292,9,46000,19,10000
"2021-05-10 00:00:00",65,177292,9,46000,20,10000
"2021-05-11 00:00:00",68,177292,9,46000,21,10000
"2021-05-12 00:00:00",71,177292,10,46000,22,10000
"2021-05-13 00:00:00",74,177292,10,46000,23,10000
"2021-05-14 00:00:00",78,177292,11,46000,24,10000
"2021-05-15 00:00:00",81,177292,11,46000,25,10000
"2021-05-16 00:00:00",85,177292,12,46000,26,10000
"2021-05-17 00:00:00",89,177292,12,46000,28,10000
"2021-05-18 00:00:00",94,177292,13,46000,29,10000
"2021-05-19 00:00:00",98,177292,14,46000,30,10000
"2021-05-20 00:00:00",103,177292,14,46000,32,10000
"2021-05-21 00:00:00",108,177292,15,46000,33,10000
"2021-05-22 00:00:00",113,177292,16,46000,35,10000
"2021-05-23 00:00:00",118,177292,16,46000,37,10000
"2021-05-24 00:00:00",124,177292,17,46000,38,10000
"2021-05-25 00:00:00",130,177292,18,46000,40,10000
"2021-05-26 00:00:00",136,177292,19,46000,42,10000
"2021-05-27 00:00:00",142,177292,20,46000,44,10000
"2021-05-28 00:00:00",149,177292,21,46000,46,10000
"2021-05-29 00:00:00",156,177292,22,46000,48,10000
"2021-05-30 00:00:00",164,177292,23,46000,51,10000
"2021-05-31 00:00:00",172,177292,24,46000,53,10000
"2021-06-01 00:00:00",180,177292,25,46000,56,10000
"2021-06-02 00:00:00",188,177292,26,46000,58,10000
"2021-06-03 00:00:00",197,177292,27,46000,61,10000
"2021-06-04 00:00:00",207,177292,29,46000,64,10000
"2021-06-05 00:00:00",217,177292,30,46000,67,10000
"2021-06-06 00:00:00",227,177292,32,46000,70,10000
"2021-06-07 00:00:00",238,177292,33,46000,74,10000
"2021-06-08 00:00:00",249,177292,35,46000,77,10000
"2021-06-09 00:00:00",261,177292,36,46000,81,10000
"2021-06-10 00:00:00",274,177292,38,46000,85,10000
"2021-06-11 00:00:00",287,177292,40,46000,89,10000
"2021-06-12 00:00:00",300,177292,42,46000,93,10000
"2021-06-13 00:00:00",315,177292,44,46000,97,10000
"2021-06-14 00:00:00",330,177292,46,46000,102,10000
"2021-06-15 00:00:00",346,177292,48,46000,107,10000
"2021-06-16 00:00:00",362,177292,50,46000,112,10000
"2021-06-17 00:00:00",379,177292,53,46000,117,10000
"2021-06-18 00:00:00",398,177292,55,46000,123,10000
"2021-06-19 00:00:00",417,177292,58,46000,129,10000
"2021-06-20 00:00:00",436,177292,61,46000,135,10000
"2021-06-21 00:00:00",457,177292,64,46000,141,10000
"2021-06-22 00:00:00",479,177292,67,46000,148,10000
"2021-06-23 00:00:00",502,177292,70,46000,155,10000
"2021-06-24 00:00:00",526,177292,73,46000,163,10000
"2021-06-25 00:00:00",551,177292,77,46000,170,10000
"2021-06-26 00:00:00",578,177292,80,46000,179,10000
"2021-06-27 00:00:00",605,177292,84,46000,187,10000
"2021-06-28 00:00:00",634,177292,88,46000,196,10000
"2021-06-29 00:00:00",664,177292,92,46000,205,10000
"2021-06-30 00:00:00",696,177292,97,46000,215,10000
"2021-07-01 00:00:00",729,177292,101,46000,226,10000
"2021-07-02 00:00:00",764,177292,106,46000,236,10000
"2021-07-03 00:00:00",801,177292,111,46000,248,10000
"2021-07-04 00:00:00",839,177292,117,46000,259,10000
"2021-07-05 00:00:00",879,177292,122,46000,272,10000
"2021-07-06 00:00:00",921,177292,128,46000,285,10000
"2021-07-07 00:00:00",965,177292,134,46000,298,10000
"2021-07-08 00:00:00",1011,177292,140,46000,313,10000
"2021-07-09 00:00:00",1059,177292,147,46000,327,10000
"2021-07-10 00:00:00",1109,177292,154,46000,343,10000
"2021-07-11 00:00:00",1162,177292,161,46000,359,10000
"2021-07-12 00:00:00",1217,177292,169,46000,377,10000
"2021-07-13 00:00:00",1275,177292,177,46000,394,10000
"2021-07-14 00:00:00",1336,177292,186,46000,413,10000
"2021-07-15 00:00:00",1400,177292,194,46000,433,10000
"2021-07-16 00:00:00",1466,177292,204,46000,454,10000
"2021-07-17 00:00:00",1536,177292,213,46000,475,10000
"2021-07-18 00:00:00",1609,177292,224,46000,498,10000
"2021-07-19 00:00:00",1685,177292,234,46000,521,10000
"2021-07-20 00:00:00",1765,177292,245,46000,546,10000
"2021-07-21 00:00:00",1849,177292,257,46000,572,10000
"2021-07-22 00:00:00",1937,177292,269,46000,599,10000
"2021-07-23 00:00:00",2029,177292,282,46000,628,10000
"2021-07-24 00:00:00",2125,177292,295,46000,657,10000
"2021-07-25 00:00:00",2225,177292,309,46000,689,10000
"2021-07-26 00:00:00",2331,177292,324,46000,721,10000
"2021-07-27 00:00:00",2441,177292,339,46000,755,10000
"2021-07-28 00:00:00",2556,177292,355,46000,791,10000
"2021-07-29 00:00:00",2677,177292,372,46000,828,10000
"2021-07-30 00:00:00",2803,177292,390,46000,868,10000
"2021-07-31 00:00:00",2935,177292,408,46000,909,10000
"2021-08-01 00:00:00",3073,177292,427,46000,951,10000
"2021-08-02 00:00:00",3218,177292,448,46000,996,10000
"2021-08-03 00:00:00",3369,177292,469,46000,1043,10000
"2021-08-04 00:00:00",3528,177292,491,46000,1092,10000
"2021-08-05 00:00:00",3693,177292,514,46000,1144,10000
"2021-08-06 00:00:00",3866,177292,538,46000,1197,10000
"2021-08-07 00:00:00",4047,177292,563,46000,1253,10000
"2021-08-08 00:00:00",4237,177292,590,46000,1312,10000
"2021-08-09 00:00:00",4434,177292,617,46000,1374,10000
"2021-08-10 00:00:00",4641,177292,646,46000,1438,10000
"2021-08-11 00:00:00",4857,177292,676,46000,1505,10000
"2021-08-12 00:00:00",5083,177292,708,46000,1575,10000
"2021-08-13 00:00:00",5320,177292,741,46000,1649,10000
"2021-08-14 00:00:00",5566,177292,775,46000,1725,10000
"2021-08-15 00:00:00",5824,177292,811,46000,1805,10000
"2021-08-16 00:00:00",6093,177292,849,46000,1889,10000
"2021-08-17 00:00:00",6374,177292,888,46000,1976,10000
"2021-08-18 00:00:00",6667,177292,929,46000,2068,10000
"2021-08-19 00:00:00",6974,177292,972,46000,2163,10000
"2021-08-20 00:00:00",7294,177292,1017,46000,2263,10000
"2021-08-21 00:00:00",7627,177292,1063,46000,2367,10000
"2021-08-22 00:00:00",7975,177292,1112,46000,2475,10000
"2021-08-23 00:00:00",8339,177292,1163,46000,2588,10000
"2021-08-24 00:00:00",8717,177292,1216,46000,2706,10000
"2021-08-25 00:00:00",9112,177292,1272,46000,2830,10000
"2021-08-26 00:00:00",9524,177292,1329,46000,2958,10000
"2021-08-27 00:00:00",9953,177292,1390,46000,3092,10000
"2021-08-28 00:00:00",10400,177292,1452,46000,3232,10000
"2021-08-29 00:00:00",10865,177292,1518,46000,3377,10000
"2021-08-30 00:00:00",11350,177292,1586,46000,3529,10000
"2021-08-31 00:00:00",11855,177292,1657,46000,3686,10000
"2021-09-01 00:00:00",12380,177292,1731,46000,3851,10000
"2021-09-02 00:00:00",12926,177292,1808,46000,4022,10000
"2021-09-03 00:00:00",13495,177292,1888,46000,4200,10000
"2021-09-04 00:00:00",14085,177292,1972,46000,4385,10000
"2021-09-05 00:00:00",14699,177292,2059,46000,4578,10000
"2021-09-06 00:00:00",15337,177292,2149,46000,4778,10000
"2021-09-07 00:00:00",15999,177292,2243,46000,4986,10000
"2021-09-08 00:00:00",16686,177292,2341,46000,5202,10000
"2021-09-09 00:00:00",17399,177292,2442,46000,5426,10000
"2021-09-10 00:00:00",18138,177292,2547,46000,5659,10000
"2021-09-11 00:00:00",18905,177292,2657,46000,5900,10000
"2021-09-12 00:00:00",19699,177292,2770,46000,6150,10000
"2021-09-13 00:00:00",20521,177292,2888,46000,6409,10000
"2021-09-14 00:00:00",21371,177292,3010,46000,6678,10000
"2021-09-15 00:00:00",22251,177292,3137,46000,6956,10000
"2021-09-16 00:00:00",23161,177292,3268,46000,7243,10000
"2021-09-17 00:00:00",24101,177292,3404,46000,7540,10000
"2021-09-18 00:00:00",25071,177292,3545,46000,7847,10000
"2021-09-19 00:00:00",26071,177292,3690,46000,8164,10000
"2021-09-20 00:00:00",27103,177292,3841,46000,8491,10000
"2021-09-21 00:00:00",28166,177292,3997,46000,8828,10000
"2021-09-22 00:00:00",29260,177292,4158,46000,9175,10000
"2021-09-23 00:00:00",30386,177292,4324,46000,9532,10000
"2021-09-24 00:00:00",31543,177292,4514,46000,9881,10000
"2021-09-25 00:00:00",32731,177292,4955,46000,9995,10000
"2021-09-26 00:00:00",33950,177292,5490,46000,10030,10000
"2021-09-27 00:00:00",35200,177292,6052,46000,10054,10000
"2021-09-28 00:00:00",36480,177292,6635,46000,10072,10000
"2021-09-29 00:00:00",37789,177292,7237,46000,10086,10000
"2021-09-30 00:00:00",39127,177292,7856,46000,10099,10000
"2021-10-01 00:00:00",40494,177292,8492,46000,10109,10000
"2021-10-02 00:00:00",41887,177292,9145,46000,10118,10000
"2021-10-03 00:00:00",43307,177292,9812,46000,10126,10000
"2021-10-04 00:00:00",44751,177292,10494,46000,10132,10000
"2021-10-05 00:00:00",46218,177292,11190,46000,10139,10000
"2021-10-06 00:00:00",47707,177292,11899,46000,10144,10000
"2021-10-07 00:00:00",49217,177292,12621,46000,10149,10000
"2021-10-08 00:00:00",50744,177292,13355,46000,10154,10000
"2021-10-09 00:00:00",52288,177292,14099,46000,10158,10000
"2021-10-10 00:00:00",53845,177292,14854,46000,10162,10000
"2021-10-11 00:00:00",55415,177292,15618,46000,10165,10000
"2021-10-12 00:00:00",56993,177292,16390,46000,10169,10000
"2021-10-13 00:00:00",58578,177292,17168,46000,10172,10000
"2021-10-14 00:00:00",60167,177292,17953,46000,10175,10000
"2021-10-15 00:00:00",61756,177292,18742,46000,10178,10000
"2021-10-16 00:00:00",63343,177292,19535,46000,10180,10000
"2021-10-17 00:00:00",64924,177292,20329,46000,10182,10000
"2021-10-18 00:00:00",66497,177292,21124,46000,10185,10000
"2021-10-19 00:00:00",68058,177292,21918,46000,10187,10000
"2021-10-20 00:00:00",69603,177292,22710,46000,10189,10000
"2021-10-21 00:00:00",71128,177292,23498,46000,10191,10000
